"","bio1","bio2","bio12","bio14","spp","method","rad","dist.t.cent","corr.surf"
"cents.1",241.719738395391,17.6086780888621,2886.80408760932,35.1362978766719,"spp.1","hard",0,39.5832200648338,0.905686489909023
"cents.11",188.235687035883,39.0830645109992,2932.86085580459,29.6714771019001,"spp.1","hard",0.125,30.3581359934706,0.873501247586257
"cents.12",194.225595837571,26.9278743082085,2685.36358915239,28.5320652243605,"spp.1","hard",0.25,43.5299880515783,0.870680337357845
"cents.13",214.550435613219,50.8399034492479,-8169.46087867254,33.9458463618147,"spp.1","hard",0.375,1742.255595146,0.836877971315075
"cents.14",123.697095927175,38.3060608435027,2112.88634135908,121.855898051147,"spp.1","hard",0.5,213.335871821769,0.767612455702557
"cents.15",175.741095838491,45.4114230822398,2652.05085265217,24.28986818709,"spp.1","hard",0,36.6562520636584,0.847943472798871
"cents.16",168.6983095308,31.6456875741388,2406.92558049988,28.2182506264082,"spp.1","hard",0.125,56.7280255413981,0.911838987790666
"cents.17",159.707656995484,-1574.09914052776,9793.20642855338,27.7586112745574,"spp.1","hard",0.25,14199.0960821418,0.85659343318038
"cents.18",213.273541259195,73.922347426751,2985.5729576923,45.2861205812756,"spp.1","hard",0.375,37.6675612776022,0.743943639942543
"cents.19",203.511496006967,40.6486382174121,6843.07297956705,28.5533709808852,"spp.1","hard",0.5,62.9373320001807,0.825139119580754
"cents.110",182.982424462404,89.117334766573,-1548.81192403351,32.203312932914,"spp.1","hard",0,364.525452545652,0.794686043310976
"cents.111",-48.3594690846146,374.283342529056,-2423.83751162928,23.197373806568,"spp.1","hard",0.125,564.344251246591,0.835275128296436
"cents.112",201.106018730898,207.945284181511,2005.53523390303,58.7386982961693,"spp.1","hard",0.25,206.470070970775,0.821067639615925
"cents.113",211.975419211641,-99.5013170183222,3149.585473145,24.652376395054,"spp.1","hard",0.375,164.507000552455,0.850936582780916
"cents.114",199.146284518165,56.0202210388218,2539.35450401792,25.5062825162446,"spp.1","hard",0.5,37.1886858862227,0.84582169171497
"cents.115",220.426056567561,106.102422190291,1658.79377646363,378.019586961436,"spp.1","hard",0,1478.85059458297,-0.19808681630014
"cents.116",208.018819873445,75.1812739456612,8232.33746979259,-3.6545254112099,"spp.1","hard",0.125,214.445604942614,-0.211621810448205
"cents.117",174.791654708625,10.7525026437915,351.000942216191,-4.26909316758153,"spp.1","hard",0.25,194.131232231287,0.66768420787665
"cents.118",217.421859638085,-139.374050848054,3506.89403805246,21.3080660395535,"spp.1","hard",0.375,225.58303754185,0.865900527645384
"cents.119",225.97477818482,106.577708859535,-3093.44074126412,44.2872907690403,"spp.1","hard",0.5,607.314586797853,0.853938667025106
"cents.120",-144668.823442422,106.826988177118,1369.7716652458,13.8531515402516,"spp.1","hard",0,26990189.7563421,-0.428589467720689
"cents.121",173.554023216351,83.2699000067105,1334.78653288991,5.07156579209803,"spp.1","hard",0.125,74.5843262230273,-0.544382276598028
"cents.122",169.400867599398,103.416769769482,6010.46667524116,48.7572207592736,"spp.1","hard",0.25,68.3096453060584,-0.648191274971577
"cents.123",208.571970347902,39.8091933578951,2393.41945847128,23.8265540536087,"spp.1","hard",0.375,46.5613912297824,0.520520971743471
"cents.124",-11.8462874156949,42.0855925006619,1825.79171722699,37.8014552373484,"spp.1","hard",0.5,154.108410471895,0.886079475152069
"cents.125",246.552743386686,7.19728647296121,2977.373762079,32.8221667013278,"spp.1","pois",0,39.2192536953786,0.904737370099533
"cents.1110",192.167821889067,-41.7335546226656,2839.58164296013,28.9115735828597,"spp.1","pois",0.125,98.4444939856928,0.893807721520314
"cents.126",189.902086047343,21.649263198868,3001.88874578368,32.3430170664829,"spp.1","pois",0.25,36.4711836555267,0.893039437007279
"cents.131",264.416404937137,11.749239490189,-5770.41706816042,39.0553376929701,"spp.1","pois",0.375,1232.5962710395,0.890435277732089
"cents.141",214.416275399985,27.5255230528271,2655.70251011574,32.6241626967584,"spp.1","pois",0.5,44.964043089288,0.87823228814458
"cents.151",179.312447445624,43.5660757941007,3035.24487708966,21.7342681477163,"spp.1","pois",0,22.932832302872,0.852634180641761
"cents.161",264.81517071072,6.48861816738104,4640.25629013408,25.2699376989156,"spp.1","pois",0.125,1.90013278203283,0.903952684081603
"cents.171",170.681114270828,-210.172918375297,-267.554905058303,31.951523361968,"spp.1","pois",0.25,852.269423590017,0.8730777656066
"cents.181",204.59848046828,41.46211901903,3343.8799011842,40.1228046082599,"spp.1","pois",0.375,21.9484446289754,0.859546994836031
"cents.191",204.891576454897,16.1664259360932,17967.8468096385,26.9993905259636,"spp.1","pois",0.5,1934.79442193815,0.872208694551119
"cents.1101",184.231011787524,82.7528944278342,-577.840784298566,29.8254235873273,"spp.1","pois",0,253.811575910652,0.768894014812804
"cents.1111",-142.123238025324,882.007788629839,660.314107879229,19.0592953529073,"spp.1","pois",0.125,2918.47673603422,0.700710886008325
"cents.1121",218.772099905308,-186.534664505146,1902.74287285751,33.4472770936453,"spp.1","pois",0.25,466.006616500403,0.872783393380996
"cents.1131",237.297479952052,32.3352123702815,2531.99559548792,33.6612688091872,"spp.1","pois",0.375,48.699457695942,0.908748761911591
"cents.1141",197.582328550333,33.2513620348001,3766.01449638283,27.5562692220707,"spp.1","pois",0.5,9.11306060434731,0.911451087658729
"cents.1151",221.492928507812,100.244048526952,1675.36361495235,-494.485261029605,"spp.1","pois",0,1794.91186411126,-0.274667849941035
"cents.1161",212.958488396489,77.3989154725436,9719.21262764158,-15.142130251723,"spp.1","pois",0.125,402.208420354248,-0.212230045766914
"cents.1171",162.803502399847,-1846.98903027194,1276.27291949057,12.9946284984977,"spp.1","pois",0.25,22235.1560280974,0.439989620558125
"cents.1181",92.2373814805634,31.6991326030523,3834.0221591252,20.625519029395,"spp.1","pois",0.375,33.207154738167,0.861558367468799
"cents.1191",224.81959160481,48.9208775690089,589.80693698045,37.4550291319873,"spp.1","pois",0.5,172.816787966676,0.864566045957118
"cents.1201",76.7209357603763,50.9724130564232,1026.2919209496,-18.2512296182136,"spp.1","pois",0,119.733859178456,-0.462785436767221
"cents.1211",167.892114360293,81.1718855186265,8008.75636013251,-3.14242109349434,"spp.1","pois",0.125,200.016021055869,-0.558845510231653
