Species,Latitud,Longitud
Cal_cal,45.9666667,-120.25
Cal_cal,41.2323207,-122.1355519
Cal_cal,37.3670857,-119.6302109
Cal_cal,36.0799797,-119.3040849
Cal_cal,41.5209207,-122.5202179
Cal_cal,43.5866262,-118.5897464
Cal_cal,43.9679287,-120.1643219
Cal_cal,38.3407717,-123.0480649
Cal_cal,46.7886997,-120.6361239
Cal_cal,42.34767,-118.6488892
Cal_cal,39.7978141,-120.139403
Cal_cal,48.7556407,-119.6633299
Cal_cal,42.0021387,-111.9538098
Cal_cal,33.6408199,-117.579092
Cal_cal,40.9620837,-121.5788419
Cal_cal,44.7983921,-117.1876246
Cal_cal,40.4903837,-123.0732879
Cal_cal,39.0044442,-117.4662536
Cal_cal,35.7335697,-118.0780029
Cal_cal,33.3657387,-118.3742829
Cal_cal,42.6188696,-119.6736929
Cal_cal,38.1481212,-115.612409
Cal_cal,34.3571317,-119.3142549
Cal_cal,37.6649984,-121.7329536
Cal_cal,41.8699632,-120.5011538
Cal_cal,32.903954,-116.23272
Cal_cal,49.194189,-124.099062
Cal_cal,46.0083647,-122.3448409
Cal_cal,41.7045577,-123.8982699
Cal_cal,44.3417036,-120.5617158
Cal_cal,48.2241597,-119.0483859
Cal_cal,47.7443867,-120.6677929
Cal_cal,46.3715872,-119.4460264
Cal_cal,44.1328667,-118.5877689
Cal_cal,42.7918728,-115.7179519
Cal_cal,46.9554377,-120.5699539
Cal_cal,45.0082537,-123.4029079
Cal_cal,48.3856347,-117.2723999
Cal_cal,42.5805007,-122.7083359
Cal_cal,37.2442817,-120.6701509
Cal_cal,45.6793737,-118.7501219
Cal_cal,41.3171877,-118.9004059
Cal_cal,34.8404587,-118.5635609
Cal_cal,39.6878368,-123.484892
Cal_cal,41.7332787,-120.3753129
Cal_cal,40.7168927,-122.6362459
Cal_cal,46.2645367,-118.1448599
Cal_cal,47.7506767,-120.3554229
Cal_cal,40.1803227,-122.8597869
Cal_cal,48.404593,-123.349578
Cal_cal,35.8086777,-120.5305939
Cal_cal,42.9576667,-118.8677979
Cal_cal,41.2587657,-112.4954989
Cal_cal,38.0878897,-121.7519384
Cal_cal,33.2200507,-115.4847789
Cal_cal,39.3028567,-119.2548979
Cal_cal,34.8339497,-119.3320309
Cal_cal,39.1844218,-122.7090796
Cal_cal,44.4808587,-118.2260359
Cal_cal,45.7988157,-119.4143299
Cal_cal,44.9709099,-122.9589506
Cal_cal,42.4372177,-117.6769719
Cal_cal,32.6119997,-116.2002339
Cal_cal,37.7104224,-120.1968622
Cal_cal,46.6647347,-120.4879609
Cal_cal,39.2754327,-121.7340849
Cal_cal,46.4670167,-117.5889669
Cal_cal,38.0453507,-122.8668979
Cal_cal,48.3550687,-120.2118449
Cal_cal,44.4171957,-119.1134189
Cal_cal,47.9220717,-122.3002169
Cal_cal,35.6378262,-120.8547697
Cal_cal,36.257393,-121.4234494
Cal_cal,34.6685951,-118.3953543
Cal_cal,47.2274587,-121.0136489
Cal_cal,43.8392471,-120.1979127
Cal_cal,44.5814347,-116.0405729
Cal_cal,40.0279597,-122.6387259
Cal_cal,36.0105997,-118.1213609
Cal_cal,44.2168556,-119.2408498
Cal_cal,42.2539829,-124.2474371
Cal_cal,48.5091787,-120.1732639
Cal_cal,48.823058,-124.057832
Cal_cal,42.1116017,-122.5365979
Cal_cal,35.8163067,-118.8450999
Cal_cal,34.7072417,-119.6177289
Cal_cal,46.2603987,-123.1780619
Cal_cal,44.3919161,-121.5215586
Cal_cal,33.3068648,-117.342142
Cal_cal,32.9696237,-117.0157469
Cal_cal,45.2809207,-117.2062679
Cal_cal,38.7687607,-120.9253159
Cal_cal,36.1558717,-117.8859479
Cal_cal,49.605754,-125.250778
Cal_cal,43.5182617,-124.1974179
Cal_cal,49.597629,-119.729636
Cal_cal,44.8296527,-117.5242079
Cal_cal,46.5749907,-113.831439
Cal_cal,43.1584349,-116.5088281
Cal_cal,46.0495247,-121.5015249
Cal_cal,35.0586291,-119.3492988
