Species,Latitud,Longitud
Cal_mel,33.2702077,-102.7840429
Cal_mel,36.4347007,-100.7308439
Cal_mel,47.2705926,-108.8010122
Cal_mel,47.498806,-107.3129313
Cal_mel,44.7890327,-106.7184519
Cal_mel,43.7410071,-101.9591186
Cal_mel,46.4129929,-96.7567323
Cal_mel,43.284162,-97.8751124
Cal_mel,43.9043437,-99.3437499
Cal_mel,41.3523266,-102.9730078
Cal_mel,42.2503717,-103.7829219
Cal_mel,40.3698817,-109.3309479
Cal_mel,30.2861238,-103.4483656
Cal_mel,49.82,-108.08
Cal_mel,42.1794577,-108.6225589
Cal_mel,42.021567,-99.4624293
Cal_mel,43.8503597,-104.2464299
Cal_mel,44.4668237,-109.1344079
Cal_mel,40.8566157,-104.5420149
Cal_mel,44.9683375,-104.3682667
Cal_mel,38.3193226,-99.2348417
Cal_mel,33.8940928,-98.9734152
Cal_mel,39.373985,-103.7867237
Cal_mel,39.3883077,-102.4274519
Cal_mel,43.6651357,-102.8709109
Cal_mel,36.2689387,-101.3528969
Cal_mel,41.3426037,-109.5838619
Cal_mel,41.8865107,-98.0363319
Cal_mel,42.4363077,-105.8889389
Cal_mel,43.0213802,-103.6686132
Cal_mel,41.7349647,-107.2656409
Cal_mel,43.520047,-103.4728516
Cal_mel,44.5010807,-98.3160719
Cal_mel,40.2199177,-97.5577459
Cal_mel,42.1806217,-102.7815019
Cal_mel,43.1834022,-98.7072332
Cal_mel,49.873241,-111.412849
Cal_mel,38.8398807,-104.0920409
Cal_mel,39.9859827,-104.5104139
Cal_mel,36.7771067,-102.2655719
Cal_mel,50.004324,-110.073194
Cal_mel,40.2631147,-102.7182079
Cal_mel,42.4902437,-96.3743819
Cal_mel,37.3190352,-97.349158
Cal_mel,35.5805137,-99.0221019
Cal_mel,46.4439717,-101.4143059
Cal_mel,43.2008645,-100.8980976
Cal_mel,47.5054097,-110.8958659
Cal_mel,39.0819137,-109.1242599
Cal_mel,39.8130827,-104.7986289
Cal_mel,38.5354618,-95.8576087
Cal_mel,37.1052137,-102.5796589
Cal_mel,45.9390434,-98.8284656
Cal_mel,49.1,-110.56
Cal_mel,51.4161361,-111.4761584
Cal_mel,37.0987057,-105.5208509
Cal_mel,38.4682058,-100.7232236
Cal_mel,41.6548957,-113.1803129
Cal_mel,36.7454597,-108.1474769
Cal_mel,50.218044,-110.955345
Cal_mel,33.0896297,-104.8270959
Cal_mel,46.1531849,-97.6746757
Cal_mel,42.2489347,-106.5688169
