"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.38133936287,1.16989024587681,0,0,1,2,"Ellipses-NORM","centre"
0.854107449033644,108.934110657158,2,0,1,0,"Ellipses-NORM","centre"
0.7159244532617,0.0468405868645238,2,0,0,1,"Ellipses-NORM","centre"
0.959716249789383,110.62179583856,3,0,0,0,"Ellipses-NORM","centre"
0.830304957857616,0.136733067833186,2,0,1,0,"Ellipses-NORM","centre"
0.639949090065175,0.125085649971122,1,0,0,2,"Ellipses-NORM","centre"
0.415061278974112,1.67241073270132,0,1,0,2,"Ellipses-NORM","centre"
0.610269530743232,0.875284814721335,1,2,0,0,"Ellipses-NORM","centre"
0.431218715988377,1.26293156823656,1,2,0,0,"Ellipses-NORM","centre"
0.852332366157986,111.834620621609,3,0,0,0,"Ellipses-NORM","centre"
0.627659352327654,0.258130854186655,1,1,0,1,"Ellipses-NORM","centre"
0.767933466231767,114.234116443177,1,1,0,1,"Ellipses-NORM","centre"
0.746458011104572,0.769468444774824,1,0,2,0,"Ellipses-NORM","centre"
0.796736993870818,0.338255298618987,2,0,1,0,"Ellipses-NORM","centre"
0.976482435669424,0.0109235018488586,3,0,0,0,"Ellipses-NORM","centre"
0.387389772803183,0.799592482638698,1,0,0,2,"Ellipses-NORM","centre"
0.95733532941364,0.0464881304086546,2,0,1,0,"Ellipses-NORM","centre"
0.742805728715687,0.265294814215246,0,1,2,0,"Ellipses-NORM","centre"
0.678231206161964,0.491071757215332,1,0,1,1,"Ellipses-NORM","centre"
0.628862609868121,96113.8102367132,2,1,0,0,"Ellipses-NORM","centre"
0.457949195328661,1.08947441633575,0,3,0,0,"Ellipses-NORM","centre"
0.612396104923559,0.744247528251657,1,0,1,1,"Ellipses-NORM","centre"
0.979181781605706,117.461224157117,2,0,1,0,"Ellipses-NORM","centre"
0.64324038844262,0.646941417670166,0,2,1,0,"Ellipses-NORM","centre"
0.580621094965612,1.66184599134627,0,2,1,0,"Ellipses-NORM","centre"
0.844113190279851,0.197970714282561,1,0,1,1,"Ellipses-NORM","centre"
0.468648959311024,1.31089087867536,1,1,0,1,"Ellipses-NORM","centre"
0.955669737756911,0.0119242709483384,2,0,1,0,"Ellipses-NORM","centre"
0.762258140030806,0.347509027334609,1,0,1,1,"Ellipses-NORM","centre"
0.888873544985432,0.0827708598663143,2,1,0,0,"Ellipses-NORM","centre"
0.485149602276689,9.44113711877509,1,1,1,0,"Ellipses-NORM","centre"
0.479217945181586,9.48458808921631,0,1,1,1,"Ellipses-NORM","centre"
0.947426325154604,0.000584533432048963,2,0,1,0,"Ellipses-NORM","centre"
0.870407426595757,0.0696337241827209,2,0,1,0,"Ellipses-NORM","centre"
0.621622706955784,0.880391163356065,0,1,1,1,"Ellipses-NORM","centre"
0.707737513057835,0.0686428404427362,2,0,0,1,"Ellipses-NORM","centre"
0.59316806360856,0.489335153532311,1,2,0,0,"Ellipses-NORM","centre"
0.837931254512341,0.144534266432922,1,0,2,0,"Ellipses-NORM","centre"
0.677176478759514,0.606190419664791,1,0,0,2,"Ellipses-NORM","centre"
0.89296717381198,0.0496693340456818,2,1,0,0,"Ellipses-NORM","centre"
0.4489974924347,2.74543885657613,0,0,1,2,"Ellipses-NORM","centre"
0.747630910687127,0.418166683088283,2,0,1,0,"Ellipses-NORM","centre"
0.893661575296758,0.116466482630425,1,0,1,1,"Ellipses-NORM","centre"
0.360576895683266,0.980781258248496,0,3,0,0,"Ellipses-NORM","centre"
0.406183880219603,111.364500393767,1,1,1,0,"Ellipses-NORM","centre"
0.898980429217796,0.0298409881988508,2,1,0,0,"Ellipses-NORM","centre"
0.83703107972782,0.123070347408413,2,1,0,0,"Ellipses-NORM","centre"
0.815221435451385,0.121911705542126,1,0,2,0,"Ellipses-NORM","centre"
0.948980440936472,0.0193396898425168,3,0,0,0,"Ellipses-NORM","centre"
0.418226359236444,1.81474323797813,1,1,0,1,"Ellipses-NORM","centre"
0.401271461146453,0.67797270824591,2,0,0,1,"Ellipses-NORM","centre"
0.828973003164078,0.183607663423563,3,0,0,0,"Ellipses-NORM","centre"
0.819244588359777,0.143510172241699,1,0,2,0,"Ellipses-NORM","centre"
0.416800940435198,0.961240579588377,1,2,0,0,"Ellipses-NORM","centre"
0.613856906682131,0.304551572206357,1,0,0,2,"Ellipses-NORM","centre"
