"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.910102176585094,53.4687557120609,0,2,1,0,"PPM","centre"
0.927516436429945,0.431815924443116,2,0,0,1,"PPM","centre"
0.754578133415337,134094.686445168,1,0,0,2,"PPM","centre"
0.959077822012384,0.167646826117561,1,0,0,2,"PPM","centre"
0.979200174462202,0.0285904688628562,3,0,0,0,"PPM","centre"
0.924321023535273,0.0610987163085437,1,0,0,2,"PPM","centre"
0.949920320049772,0.0353944051082618,3,0,0,0,"PPM","centre"
0.969918703532298,0.058184662622402,2,0,1,0,"PPM","centre"
0.973829461279179,0.0207040874289394,2,0,0,1,"PPM","centre"
0.965047615976635,0.0181899258736155,2,0,1,0,"PPM","centre"
0.710891338877071,4.77898044112425,1,0,0,2,"PPM","centre"
0.976358864140732,0.0146727323316167,1,1,0,1,"PPM","centre"
0.933743728080214,0.954435437631462,1,0,1,1,"PPM","centre"
0.960210781263993,0.118859132681565,1,0,1,1,"PPM","centre"
0.964399840185363,0.0449302308327552,2,0,0,1,"PPM","centre"
0.974554230386476,0.0438862764195045,2,1,0,0,"PPM","centre"
0.98544953128108,0.0691797710144783,0,0,3,0,"PPM","centre"
0.936560391317541,0.362329696033758,2,1,0,0,"PPM","centre"
0.943911437024558,252.683052224635,1,1,0,1,"PPM","centre"
0.954452448008353,0.187645257759757,1,0,1,1,"PPM","centre"
0.981962126000681,0.00592784027016846,2,0,1,0,"PPM","centre"
0.973196874955238,0.046178393681854,1,0,1,1,"PPM","centre"
0.967573681018377,0.0723481873374625,1,0,1,1,"PPM","centre"
0.950567731697787,0.014237656977067,3,0,0,0,"PPM","centre"
0.959361936530868,0.0387744238065268,3,0,0,0,"PPM","centre"
0.930070679950388,0.0577524077227935,2,0,1,0,"PPM","centre"
0.721399345141908,3.3201582017609,0,1,2,0,"PPM","centre"
0.971973353484876,0.437772601473281,2,0,1,0,"PPM","centre"
0.921705069399492,0.169981486966043,2,0,1,0,"PPM","centre"
0.96469079707656,1.74346856023639,1,1,0,1,"PPM","centre"
0.971372814842568,0.0573975359434369,2,0,1,0,"PPM","centre"
0.898816396386072,0.0669546758658384,2,0,1,0,"PPM","centre"
0.936696556731437,0.350480516104984,2,0,1,0,"PPM","centre"
0.920530150702031,0.254281659608618,2,0,0,1,"PPM","centre"
0.940033858058133,0.729048559607557,1,1,0,1,"PPM","centre"
0.987185226790589,0.0165806591866946,1,0,1,1,"PPM","centre"
0.937757613139123,0.482473259740888,0,1,1,1,"PPM","centre"
0.965654379984743,2.23082284139789,2,0,1,0,"PPM","centre"
0.973584786018013,0.250245050552856,0,2,1,0,"PPM","centre"
0.954653654946344,0.562573931607481,1,1,0,1,"PPM","centre"
0.990109083755458,0.246293231621441,1,0,1,1,"PPM","centre"
0.963622905062364,0.123223958572149,1,1,0,1,"PPM","centre"
0.642387033266277,3.60694287957629,1,0,0,2,"PPM","centre"
0.918337514927043,0.592989285639215,2,0,0,1,"PPM","centre"
0.944349037356817,0.13317200020315,2,1,0,0,"PPM","centre"
0.837105236187107,2.32517577201624,1,1,1,0,"PPM","centre"
0.946220526634843,0.0421341729570434,2,0,0,1,"PPM","centre"
0.93005773633798,42.072685675387,0,1,1,1,"PPM","centre"
0.943313867307423,0.227830123818988,3,0,0,0,"PPM","centre"
0.534722463469615,487.183052843192,0,1,2,0,"PPM","centre"
0.970608360431218,0.0379047888100706,2,0,1,0,"PPM","centre"
0.961107515109589,0.868406360311324,1,0,0,2,"PPM","centre"
0.952707981989971,0.025921283935542,3,0,0,0,"PPM","centre"
0.954724365253411,36.3898978582447,0,2,1,0,"PPM","centre"
0.938079705136627,0.176876926965201,2,0,1,0,"PPM","centre"
0.982079508794542,0.238155378033474,2,0,0,1,"PPM","centre"
0.911837753938887,0.141166882097182,2,1,0,0,"PPM","centre"
0.893962693457864,48.9956010964484,1,1,1,0,"PPM","centre"
0.982328173545259,0.316730728842357,0,0,2,1,"PPM","centre"
0.912411037022915,96.2015993444889,0,2,1,0,"PPM","centre"
0.846141215300609,2467.89857777317,1,1,0,1,"PPM","centre"
0.901092922202227,0.415296608105331,2,0,0,1,"PPM","centre"
0.955931181478648,0.00135735366163894,2,0,1,0,"PPM","centre"
0.95706202689681,0.302605408063522,1,0,0,2,"PPM","centre"
0.976926884513473,1.08187365861413,0,1,2,0,"PPM","centre"
0.97042318476402,5.80566294041606,1,2,0,0,"PPM","centre"
0.503333549344212,31.8756774833318,0,2,0,1,"PPM","centre"
0.967946371649516,0.396465608897379,1,0,2,0,"PPM","centre"
0.956155061544258,0.0173794036415919,3,0,0,0,"PPM","centre"
0.947701255987302,4.42079370104839,2,0,0,1,"PPM","centre"
0.496688238615596,610.212955765861,1,2,0,0,"PPM","centre"
0.921178646926047,84.4874584131163,1,0,0,2,"PPM","centre"
0.931477413021444,4.432959683488,1,1,1,0,"PPM","centre"
0.935914455707623,77.7617137949869,1,2,0,0,"PPM","centre"
0.913147248868857,0.346001890772313,2,1,0,0,"PPM","centre"
0.829465179682189,4.49222150281225,1,1,1,0,"PPM","centre"
0.952489748008947,0.018377059633261,3,0,0,0,"PPM","centre"
0.879531414515762,312.84962527969,2,0,0,1,"PPM","centre"
0.966159480464399,0.0384407001464585,1,0,2,0,"PPM","centre"
0.980110227433721,0.353326336507479,0,1,1,1,"PPM","centre"
0.844797873824055,32.5701815382161,1,1,1,0,"PPM","centre"
0.951439631256277,0.0146634901040391,1,0,2,0,"PPM","centre"
0.740081956433881,4.8109039455372,1,1,1,0,"PPM","centre"
0.979236295699013,0.00628614528960907,3,0,0,0,"PPM","centre"
0.953356887816808,3.52524708749646,1,0,1,1,"PPM","centre"
0.962961867223753,58.6714752086803,2,0,0,1,"PPM","centre"
0.985856907233339,0.00254180745197429,2,0,1,0,"PPM","centre"
0.96172546247472,0.30055108781504,1,1,0,1,"PPM","centre"
0.675272108069671,28.4583312397019,1,0,1,1,"PPM","centre"
0.675462518527976,13.8878981783352,1,1,1,0,"PPM","centre"
0.887480539134159,49.1551133296409,0,2,1,0,"PPM","centre"
0.685984439408346,60.5255876047184,2,0,0,1,"PPM","centre"
0.852735140146408,1.63130210287835,1,0,2,0,"PPM","centre"
0.943177965666153,0.202262933514252,2,1,0,0,"PPM","centre"
0.930701499171506,11.5414585098716,1,1,1,0,"PPM","centre"
0.941094952001992,2.01113316994644,1,2,0,0,"PPM","centre"
0.924526401697122,0.445466906161462,2,0,1,0,"PPM","centre"
0.83889619668516,109.27457330915,0,2,1,0,"PPM","centre"
0.944052491159802,4.40716730917792,1,2,0,0,"PPM","centre"
0.954322420224706,2.43675128934322,0,0,1,2,"PPM","centre"
0.886810436033628,2503.14683877774,1,1,1,0,"PPM","centre"
0.925365995764686,24.4902017346905,1,1,0,1,"PPM","centre"
0.937975702217677,0.462850333794847,2,0,1,0,"PPM","centre"
0.943504540067458,0.345353620559615,2,1,0,0,"PPM","centre"
0.964293394385099,0.132344677166663,2,0,1,0,"PPM","centre"
0.95100042482089,0.324133950067012,1,1,1,0,"PPM","centre"
0.621563400213318,9.10095738994973,0,0,2,1,"PPM","centre"
0.734508058630036,1.47439119085873,2,0,0,1,"PPM","centre"
0.651394991047975,110.927796961944,0,1,1,1,"PPM","centre"
0.807218192787273,370.45819439805,1,0,1,1,"PPM","centre"
0.954629277383025,98.8108246194074,0,0,2,1,"PPM","centre"
0.961939188357038,6334.12268163961,1,0,0,2,"PPM","centre"
0.948305454435046,0.0272015341561473,2,0,1,0,"PPM","centre"
0.939684959797694,0.18409630007457,0,1,1,1,"PPM","centre"
0.732435964044734,1.2359898756695,2,1,0,0,"PPM","centre"
0.980147231940738,0.2606217442881,0,1,0,2,"PPM","centre"
0.945535866790761,0.0502517658456139,3,0,0,0,"PPM","centre"
0.784605570333823,378242975.298499,1,1,1,0,"PPM","centre"
0.906970090757258,26.2505835220981,1,1,1,0,"PPM","centre"
0.753950251886904,20.4721114460929,2,1,0,0,"PPM","centre"
0.954651943685964,0.18554229094875,1,2,0,0,"PPM","centre"
0.976711252470815,53.3478279163558,1,1,1,0,"PPM","centre"
0.981066315016344,1.19040109807977,2,0,0,1,"PPM","centre"
0.983417630786826,1.22452585740228,2,0,1,0,"PPM","centre"
0.938935009816893,0.60674606250093,0,2,0,1,"PPM","centre"
0.825230728929292,639.332358569015,0,1,0,2,"PPM","centre"
