"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.844514464246113,5.43879897224066,0,0,1,2,"PPM-sat","centre"
0.889097054397379,0.222517900891265,2,0,1,0,"PPM-sat","centre"
0.915956409543905,0.74234380974024,2,0,0,1,"PPM-sat","centre"
0.928836545798112,0.118697805230871,3,0,0,0,"PPM-sat","centre"
0.940425830097727,0.808904538742439,2,0,1,0,"PPM-sat","centre"
0.841837312886954,19.1886048605437,1,0,0,2,"PPM-sat","centre"
0.797069035432427,2.62437865124769,0,1,0,2,"PPM-sat","centre"
0.965500446193754,0.241252499906685,1,2,0,0,"PPM-sat","centre"
0.919441444898753,52.2490959225455,1,2,0,0,"PPM-sat","centre"
0.951407231860817,0.0428175124902141,3,0,0,0,"PPM-sat","centre"
0.955491490207903,0.415293624074255,1,1,0,1,"PPM-sat","centre"
0.969371169870442,0.18228953177525,1,1,0,1,"PPM-sat","centre"
0.965794077972799,5.53810319022126,1,0,2,0,"PPM-sat","centre"
0.977271740367946,0.688906406872404,2,0,1,0,"PPM-sat","centre"
0.90477430890363,0.140806803546594,3,0,0,0,"PPM-sat","centre"
0.778484241981538,6293.3705995705,1,0,0,2,"PPM-sat","centre"
0.945104728717305,0.0840865316698006,2,0,1,0,"PPM-sat","centre"
0.964595352480092,0.121679852342601,0,1,2,0,"PPM-sat","centre"
0.931514062650685,0.308131904771109,1,0,1,1,"PPM-sat","centre"
0.926237177465385,1.76223484907012,2,1,0,0,"PPM-sat","centre"
0.868888523106316,50.2747574060414,0,3,0,0,"PPM-sat","centre"
0.955941513091036,0.0865532455102836,1,0,1,1,"PPM-sat","centre"
0.921879138380626,0.0971975745539337,2,0,1,0,"PPM-sat","centre"
0.958403272341804,3.36728014522498,0,2,1,0,"PPM-sat","centre"
0.935466942468798,2.59041079270097,0,2,1,0,"PPM-sat","centre"
0.941010379183694,0.713387413684438,1,0,1,1,"PPM-sat","centre"
0.80368226384764,16.812704909649,1,1,0,1,"PPM-sat","centre"
0.940739927959998,0.00627734912623576,2,0,1,0,"PPM-sat","centre"
0.95789951428435,0.32455890358172,1,0,1,1,"PPM-sat","centre"
0.96887981636883,0.0250898546226046,2,1,0,0,"PPM-sat","centre"
0.880639999645851,10.0596632628558,1,1,1,0,"PPM-sat","centre"
0.911053071068883,3.37535698019475,0,1,1,1,"PPM-sat","centre"
0.964569684009959,0.085377620990082,2,0,1,0,"PPM-sat","centre"
0.951614297099678,0.424103207648508,2,0,1,0,"PPM-sat","centre"
0.9521521214385,35.2511001247315,0,1,1,1,"PPM-sat","centre"
0.899166702275828,0.405190453470855,2,0,0,1,"PPM-sat","centre"
0.970245497685849,30.7591751290277,1,2,0,0,"PPM-sat","centre"
0.971030692786337,0.362336844049719,1,0,2,0,"PPM-sat","centre"
0.958398355618883,9.62013544467016,1,0,0,2,"PPM-sat","centre"
0.942147393852956,0.0375268990178061,2,1,0,0,"PPM-sat","centre"
0.826917334030077,27.3937164023514,0,0,1,2,"PPM-sat","centre"
0.937912374400885,0.791040687043954,2,0,1,0,"PPM-sat","centre"
0.819267638924404,0.093316884519645,1,0,1,1,"PPM-sat","centre"
0.753234808514574,211.63028033987,0,3,0,0,"PPM-sat","centre"
0.65326677584752,29.5751204368337,1,1,1,0,"PPM-sat","centre"
0.96227055072728,0.0117112353348521,2,1,0,0,"PPM-sat","centre"
0.908197025197769,0.0153248981492093,2,1,0,0,"PPM-sat","centre"
0.964396960110714,0.416435012780352,1,0,2,0,"PPM-sat","centre"
0.948351253763215,0.00601265289540314,3,0,0,0,"PPM-sat","centre"
0.511335096334551,4.69703982490219,1,1,0,1,"PPM-sat","centre"
0.68913519868051,256.552126405733,2,0,0,1,"PPM-sat","centre"
0.936558413142187,0.0372729045438169,3,0,0,0,"PPM-sat","centre"
0.96387704649104,0.680593619183343,1,0,2,0,"PPM-sat","centre"
0.858613466591507,4.3125416369145,1,2,0,0,"PPM-sat","centre"
0.909168965342471,1.16952495682097,1,0,0,2,"PPM-sat","centre"
0.900244688559534,377.690238830914,0,3,0,0,"PPM-sat","centre"
0.792056370877234,4.56844383633495,1,1,0,1,"PPM-sat","centre"
0.856171735752707,490.752862466346,0,1,2,0,"PPM-sat","centre"
0.934249314865159,2753.8804637055,0,2,0,1,"PPM-sat","centre"
0.924524478993183,284.905170255471,1,1,1,0,"PPM-sat","centre"
0.982074438961815,0.0472479962186222,1,2,0,0,"PPM-sat","centre"
0.93668916707658,110.063663522296,0,1,1,1,"PPM-sat","centre"
0.98629219380897,0.114269931236373,2,0,0,1,"PPM-sat","centre"
0.97598019783923,0.0512301887698626,1,1,1,0,"PPM-sat","centre"
0.890371891058222,3.64832301700961,1,1,1,0,"PPM-sat","centre"
0.94030064492139,0.0133464538591146,2,0,1,0,"PPM-sat","centre"
0.964789706087842,0.0147476065752155,0,0,3,0,"PPM-sat","centre"
0.959373476455922,0.124636710774021,0,1,2,0,"PPM-sat","centre"
0.80749893685744,33452.9026991606,1,0,1,1,"PPM-sat","centre"
0.958211807764454,2.93619584885099,2,0,0,1,"PPM-sat","centre"
0.844512161110909,239.189011166986,0,2,1,0,"PPM-sat","centre"
0.653891211051186,5.7471181651188,1,1,0,1,"PPM-sat","centre"
0.959233176130571,0.291702645790029,1,2,0,0,"PPM-sat","centre"
0.94495546387728,0.191270415977859,2,0,0,1,"PPM-sat","centre"
0.648963403892674,3.89896526717244,2,1,0,0,"PPM-sat","centre"
0.977062781086349,0.0196212451841166,2,0,1,0,"PPM-sat","centre"
0.951672768651554,0.89994518946343,1,1,0,1,"PPM-sat","centre"
0.897387056135905,0.352011819389053,2,1,0,0,"PPM-sat","centre"
0.776971145261156,73.8308585555674,1,0,1,1,"PPM-sat","centre"
0.872294377891429,5.84954252316026,2,1,0,0,"PPM-sat","centre"
0.863646090226121,13.3045683366002,1,0,0,2,"PPM-sat","centre"
0.985416254295574,0.061667217955477,2,0,1,0,"PPM-sat","centre"
0.896191339867669,35.7387609868653,0,1,1,1,"PPM-sat","centre"
0.888815354467905,44135.691858502,0,1,1,1,"PPM-sat","centre"
0.935945363712158,0.316489137600356,2,0,1,0,"PPM-sat","centre"
0.858647603149072,301.765571287518,1,1,1,0,"PPM-sat","centre"
0.936556279524409,304.3121246317,0,2,1,0,"PPM-sat","centre"
0.889457387544029,149.343431380004,1,1,0,1,"PPM-sat","centre"
0.754072620681456,10.076230820018,0,2,0,1,"PPM-sat","centre"
0.944767829446349,0.0825039008330143,2,0,1,0,"PPM-sat","centre"
0.981482349675079,2.51762958615381,1,1,1,0,"PPM-sat","centre"
