"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.912431770504854,NA,0,0,1,2,"PPM-step","centre"
0.889097054397379,0.222517900891265,2,0,1,0,"PPM-step","centre"
0.904962133297523,NA,2,0,0,1,"PPM-step","centre"
0.930222713990096,NA,3,0,0,0,"PPM-step","centre"
0.931692956457896,NA,2,0,1,0,"PPM-step","centre"
0.873605965267269,NA,1,0,0,2,"PPM-step","centre"
0.8486523080359,NA,0,1,0,2,"PPM-step","centre"
0.963466803780784,NA,1,2,0,0,"PPM-step","centre"
0.968800781320434,NA,1,2,0,0,"PPM-step","centre"
0.951407231860817,0.0428175124902141,3,0,0,0,"PPM-step","centre"
0.924288274261339,NA,1,1,0,1,"PPM-step","centre"
0.969371169870442,0.18228953177525,1,1,0,1,"PPM-step","centre"
0.965794077972799,5.53810319022126,1,0,2,0,"PPM-step","centre"
0.968954949435457,NA,2,0,1,0,"PPM-step","centre"
0.896730470550802,NA,3,0,0,0,"PPM-step","centre"
0.927534672160156,NA,1,0,0,2,"PPM-step","centre"
0.945104728717305,0.0840865316698006,2,0,1,0,"PPM-step","centre"
0.964595352480092,0.121679852342601,0,1,2,0,"PPM-step","centre"
0.931514062650685,0.308131904771109,1,0,1,1,"PPM-step","centre"
0.897853638356215,NA,2,1,0,0,"PPM-step","centre"
0.850797985382793,NA,0,3,0,0,"PPM-step","centre"
0.868279481396362,NA,1,0,1,1,"PPM-step","centre"
0.921879138380626,0.0971975745539337,2,0,1,0,"PPM-step","centre"
0.946695780856059,NA,0,2,1,0,"PPM-step","centre"
0.919879430198642,NA,0,2,1,0,"PPM-step","centre"
0.941010379183694,0.713387413684438,1,0,1,1,"PPM-step","centre"
0.780500954837188,NA,1,1,0,1,"PPM-step","centre"
0.940739927959998,0.00627734912623576,2,0,1,0,"PPM-step","centre"
0.95789951428435,0.32455890358172,1,0,1,1,"PPM-step","centre"
0.959299886354481,NA,2,1,0,0,"PPM-step","centre"
0.840420079532691,NA,1,1,1,0,"PPM-step","centre"
0.915457439563356,NA,0,1,1,1,"PPM-step","centre"
0.970459575914435,NA,2,0,1,0,"PPM-step","centre"
0.951614297099678,0.424103207648508,2,0,1,0,"PPM-step","centre"
0.960309351358812,NA,0,1,1,1,"PPM-step","centre"
0.899166702275828,0.405190453470855,2,0,0,1,"PPM-step","centre"
0.977337391579724,NA,1,2,0,0,"PPM-step","centre"
0.971030692786337,0.362336844049719,1,0,2,0,"PPM-step","centre"
0.933827019210812,NA,1,0,0,2,"PPM-step","centre"
0.942147393852956,0.0375268990178061,2,1,0,0,"PPM-step","centre"
0.80453436215222,NA,0,0,1,2,"PPM-step","centre"
0.937912374400885,0.791040687043954,2,0,1,0,"PPM-step","centre"
0.819267638924404,0.093316884519645,1,0,1,1,"PPM-step","centre"
0.806554973508503,NA,0,3,0,0,"PPM-step","centre"
0.277220648439698,NA,1,1,1,0,"PPM-step","centre"
0.96198323414457,NA,2,1,0,0,"PPM-step","centre"
0.908197025197769,0.0153248981492093,2,1,0,0,"PPM-step","centre"
0.964106148768401,NA,1,0,2,0,"PPM-step","centre"
0.949655444294207,NA,3,0,0,0,"PPM-step","centre"
0.602985801979174,NA,1,1,0,1,"PPM-step","centre"
0.773964773586503,NA,2,0,0,1,"PPM-step","centre"
0.936558413142187,0.0372729045438169,3,0,0,0,"PPM-step","centre"
0.960819504844624,NA,1,0,2,0,"PPM-step","centre"
0.903909258619932,NA,1,2,0,0,"PPM-step","centre"
0.909432215649457,NA,1,0,0,2,"PPM-step","centre"
