"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
-0.100908002490204,33.9161481666996,0,0,1,2,"Ellipses","edge"
0.529314980138704,5.55561034169411,2,0,1,0,"Ellipses","edge"
0.393557674351833,7.93091454677125,2,0,0,1,"Ellipses","edge"
0.532182234957172,4.88096518675156,3,0,0,0,"Ellipses","edge"
0.607919532746296,4.78872477966383,2,0,1,0,"Ellipses","edge"
0.516039863750697,11.3448414160372,1,0,0,2,"Ellipses","edge"
0.48816868349017,9.13573367126313,0,1,0,2,"Ellipses","edge"
0.362144239919746,10.2747948948426,1,2,0,0,"Ellipses","edge"
-0.259956169950278,51.6656036273567,1,2,0,0,"Ellipses","edge"
0.575109896058226,3.47931136207082,3,0,0,0,"Ellipses","edge"
0.315062827969055,13.2182527295614,1,1,0,1,"Ellipses","edge"
0.688166363995736,4.47625124180239,1,1,0,1,"Ellipses","edge"
0.657976550443582,3.55171900886036,1,0,2,0,"Ellipses","edge"
0.539489383939124,5.71769899831487,2,0,1,0,"Ellipses","edge"
0.484402580995872,3.7914824340919,3,0,0,0,"Ellipses","edge"
0.459346299123877,9.9701259307864,1,0,0,2,"Ellipses","edge"
0.593159071075277,4.49387539698609,2,0,1,0,"Ellipses","edge"
0.515345416189844,6.06679020778783,0,1,2,0,"Ellipses","edge"
0.604299995819779,6.26119720522733,1,0,1,1,"Ellipses","edge"
0.194818415337078,11.9121898657551,2,1,0,0,"Ellipses","edge"
0.267487890908136,24.9317294940341,0,3,0,0,"Ellipses","edge"
0.400078030828531,8.09964620247645,1,0,1,1,"Ellipses","edge"
0.444278705614701,5.68203252197744,2,0,1,0,"Ellipses","edge"
0.428075047993601,8.02279816414424,0,2,1,0,"Ellipses","edge"
0.288858965353476,12.7818224549933,0,2,1,0,"Ellipses","edge"
0.38381588280788,7.8440455142489,1,0,1,1,"Ellipses","edge"
0.224219098181218,15.8183420709867,1,1,0,1,"Ellipses","edge"
0.50575536345166,4.58451331574175,2,0,1,0,"Ellipses","edge"
0.504653340420041,3.9591122581099,1,0,1,1,"Ellipses","edge"
0.485957343844743,6.9010719350028,2,1,0,0,"Ellipses","edge"
0.435593824819216,6.50810378651191,1,1,1,0,"Ellipses","edge"
0.491013850677782,5.74688274473977,0,1,1,1,"Ellipses","edge"
0.559388780397222,3.50855811590435,2,0,1,0,"Ellipses","edge"
0.518980186405524,5.12966376341417,2,0,1,0,"Ellipses","edge"
0.3235630650025,10.3451755454122,0,1,1,1,"Ellipses","edge"
0.416398429443568,6.81865309561227,2,0,0,1,"Ellipses","edge"
0.365260288204622,11.268861032968,1,2,0,0,"Ellipses","edge"
0.52861193043981,5.10818504200545,1,0,2,0,"Ellipses","edge"
0.494008387031474,14.8705186434678,1,0,0,2,"Ellipses","edge"
0.579886500767084,4.13419832909853,2,1,0,0,"Ellipses","edge"
0.00250222214589005,23.2278411967374,0,0,1,2,"Ellipses","edge"
0.482766418003504,7.2113827191677,2,0,1,0,"Ellipses","edge"
0.477984678838812,14.7827967714715,1,0,1,1,"Ellipses","edge"
0.210200676261283,24.6061717402313,0,3,0,0,"Ellipses","edge"
0.272447846279569,16.7341978353119,1,1,1,0,"Ellipses","edge"
0.494965836935294,6.26999314880414,2,1,0,0,"Ellipses","edge"
0.627613910457328,3.85175705984379,2,1,0,0,"Ellipses","edge"
0.570133477821331,3.93262682492714,1,0,2,0,"Ellipses","edge"
0.530610043206912,4.83081854175837,3,0,0,0,"Ellipses","edge"
0.540305701484982,9.18278722480899,1,1,0,1,"Ellipses","edge"
0.0122516334448263,22.4786081447953,2,0,0,1,"Ellipses","edge"
0.554144615468606,4.71851688545504,3,0,0,0,"Ellipses","edge"
0.478600983340666,4.93842203187142,1,0,2,0,"Ellipses","edge"
0.388087231352438,13.0795937362369,1,2,0,0,"Ellipses","edge"
0.421205594496918,5.99578089858276,1,0,0,2,"Ellipses","edge"
0.521745052370183,9.08876744202548,0,3,0,0,"Ellipses","edge"
-0.0504312388928688,32.2856492705545,1,1,0,1,"Ellipses","edge"
0.619722988178065,7.60072210349833,0,1,2,0,"Ellipses","edge"
0.119789166367259,15.190866723979,0,2,0,1,"Ellipses","edge"
0.614513892602743,5.26148154411809,1,1,1,0,"Ellipses","edge"
0.639884910060887,5.71063478550451,1,2,0,0,"Ellipses","edge"
0.500414813364241,7.86253595451535,0,1,1,1,"Ellipses","edge"
0.62668525240146,4.73291216341206,2,0,0,1,"Ellipses","edge"
0.582167979429239,4.11856281504452,1,1,1,0,"Ellipses","edge"
0.403640610225679,9.82993307979586,1,1,1,0,"Ellipses","edge"
0.47929510426441,5.24636331228895,2,0,1,0,"Ellipses","edge"
0.530512368317608,4.13320628137511,0,0,3,0,"Ellipses","edge"
0.451691827193582,8.194284379412,0,1,2,0,"Ellipses","edge"
-0.200314932749899,26.4685183318964,1,0,1,1,"Ellipses","edge"
0.286782141746329,9.02307239684396,2,0,0,1,"Ellipses","edge"
-0.0384557084991648,21.2096883405487,0,2,1,0,"Ellipses","edge"
0.484398222554276,15.3973055588699,1,1,0,1,"Ellipses","edge"
0.590998167542562,4.53831253362062,1,2,0,0,"Ellipses","edge"
0.595993473496326,4.90020564437229,2,0,0,1,"Ellipses","edge"
-0.079658753075879,32.4334730676667,2,1,0,0,"Ellipses","edge"
0.467527956053027,4.91183427821796,2,0,1,0,"Ellipses","edge"
0.383577201201396,8.42522950677552,1,1,0,1,"Ellipses","edge"
