"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.650593987442556,91.2889199341516,0,0,1,2,"PPM-sat-NORM","edge"
0.954354409193335,9.1726168328294,2,0,1,0,"PPM-sat-NORM","edge"
0.949556347448723,38.4532919672122,2,0,0,1,"PPM-sat-NORM","edge"
0.94507961069683,7170.46654026701,3,0,0,0,"PPM-sat-NORM","edge"
0.96980505592592,26.7778776642926,2,0,1,0,"PPM-sat-NORM","edge"
0.934698249995064,4.98223349288178,1,0,0,2,"PPM-sat-NORM","edge"
0.712822717263746,0.968215435451865,0,1,0,2,"PPM-sat-NORM","edge"
0.922644643887737,134.775990396858,1,2,0,0,"PPM-sat-NORM","edge"
0.652351446013873,429.495427825206,1,2,0,0,"PPM-sat-NORM","edge"
0.953856029602156,26.6300447608408,3,0,0,0,"PPM-sat-NORM","edge"
0.861291862499139,122.976802254312,1,1,0,1,"PPM-sat-NORM","edge"
0.932328058478588,32.2349474548826,1,1,0,1,"PPM-sat-NORM","edge"
0.960805180265151,17.609951074655,1,0,2,0,"PPM-sat-NORM","edge"
0.978794504033069,20.5275850554121,2,0,1,0,"PPM-sat-NORM","edge"
0.954444588617353,53.8171079748416,3,0,0,0,"PPM-sat-NORM","edge"
0.690808444526425,29.6809566839627,1,0,0,2,"PPM-sat-NORM","edge"
0.981675941931684,11.5446934597942,2,0,1,0,"PPM-sat-NORM","edge"
0.974048852635584,32.7005355703447,0,1,2,0,"PPM-sat-NORM","edge"
0.954528247764699,79.1318271938624,1,0,1,1,"PPM-sat-NORM","edge"
0.928953014693004,108880.969908644,2,1,0,0,"PPM-sat-NORM","edge"
0.619794865515589,1.09769968502597,0,3,0,0,"PPM-sat-NORM","edge"
0.906599189431719,66.7737360777124,1,0,1,1,"PPM-sat-NORM","edge"
0.964887681050414,9.88471398010372,2,0,1,0,"PPM-sat-NORM","edge"
0.931433144387424,56.3152225214981,0,2,1,0,"PPM-sat-NORM","edge"
0.895561988800143,79.0967591585877,0,2,1,0,"PPM-sat-NORM","edge"
0.961143801786086,27.5025471474993,1,0,1,1,"PPM-sat-NORM","edge"
0.826797342973805,787.125711349343,1,1,0,1,"PPM-sat-NORM","edge"
0.944718382915748,29975.144875985,2,0,1,0,"PPM-sat-NORM","edge"
0.926496595337078,37.9341435848219,1,0,1,1,"PPM-sat-NORM","edge"
0.980037234577025,27.4691619542277,2,1,0,0,"PPM-sat-NORM","edge"
0.650075854150143,65.4129860296189,1,1,1,0,"PPM-sat-NORM","edge"
0.821243340716943,7.88499175980065,0,1,1,1,"PPM-sat-NORM","edge"
0.981827079714117,7.114681302965,2,0,1,0,"PPM-sat-NORM","edge"
0.959554944202093,29.229567030077,2,0,1,0,"PPM-sat-NORM","edge"
0.937904703181278,138.018831649453,0,1,1,1,"PPM-sat-NORM","edge"
0.947027307841267,17.816558755654,2,0,0,1,"PPM-sat-NORM","edge"
0.824621364921255,90.6263676474454,1,2,0,0,"PPM-sat-NORM","edge"
0.966200148909726,15.2886632259799,1,0,2,0,"PPM-sat-NORM","edge"
0.972026919539544,39.6505059992751,1,0,0,2,"PPM-sat-NORM","edge"
0.967993681459502,4.72143522619548,2,1,0,0,"PPM-sat-NORM","edge"
0.784328866865771,74.217015090765,0,0,1,2,"PPM-sat-NORM","edge"
0.972769005041346,35.6218050207936,2,0,1,0,"PPM-sat-NORM","edge"
0.982633571195027,250405.690784026,1,0,1,1,"PPM-sat-NORM","edge"
0.712898362546358,37.0733020634302,0,3,0,0,"PPM-sat-NORM","edge"
0.682629845517159,Inf,1,1,1,0,"PPM-sat-NORM","edge"
0.986074125337292,30.7009166648308,2,1,0,0,"PPM-sat-NORM","edge"
0.929846555884025,10.4648461126145,2,1,0,0,"PPM-sat-NORM","edge"
0.974127814886514,22.7398100956629,1,0,2,0,"PPM-sat-NORM","edge"
0.947266853838688,21.0988359399336,3,0,0,0,"PPM-sat-NORM","edge"
0.908411804500029,7.91890636441918,1,1,0,1,"PPM-sat-NORM","edge"
0.791671957493806,1118033.53878482,2,0,0,1,"PPM-sat-NORM","edge"
0.95344723757575,9.32110378770998,3,0,0,0,"PPM-sat-NORM","edge"
0.963468880155368,13.1906280394734,1,0,2,0,"PPM-sat-NORM","edge"
0.702934530318983,10.282260346073,1,2,0,0,"PPM-sat-NORM","edge"
0.888309204097036,41.4730249146537,1,0,0,2,"PPM-sat-NORM","edge"
0.905754735261459,62.7045815877363,0,3,0,0,"PPM-sat-NORM","edge"
0.554987701309213,NA,1,1,0,1,"PPM-sat-NORM","edge"
0.934071941629794,19.4171370208168,0,1,2,0,"PPM-sat-NORM","edge"
0.928617765979913,194.334501452747,0,2,0,1,"PPM-sat-NORM","edge"
0.935498471280743,0.789510972213844,1,1,1,0,"PPM-sat-NORM","edge"
0.981775578713161,27.5726949923798,1,2,0,0,"PPM-sat-NORM","edge"
0.897731960673451,4.7181550891073,0,1,1,1,"PPM-sat-NORM","edge"
0.926672747849299,37.9856490159938,2,0,0,1,"PPM-sat-NORM","edge"
0.986710216669245,8.29322768156312,1,1,1,0,"PPM-sat-NORM","edge"
0.742713769166141,0.92085669637971,1,1,1,0,"PPM-sat-NORM","edge"
0.977841659790021,261.339913934817,2,0,1,0,"PPM-sat-NORM","edge"
0.953861330734419,33.8823284730759,0,0,3,0,"PPM-sat-NORM","edge"
0.965715885588953,30.3235643252163,0,1,2,0,"PPM-sat-NORM","edge"
0.634811949791064,137157.71477281,1,0,1,1,"PPM-sat-NORM","edge"
0.943615087938137,98.4002956140184,2,0,0,1,"PPM-sat-NORM","edge"
0.83774506633167,Inf,0,2,1,0,"PPM-sat-NORM","edge"
0.790080095295153,4.61003638034025,1,1,0,1,"PPM-sat-NORM","edge"
0.98648861192107,32.6565161509491,1,2,0,0,"PPM-sat-NORM","edge"
0.978878916915711,10.6824568919262,2,0,0,1,"PPM-sat-NORM","edge"
0.832887937294596,NA,2,1,0,0,"PPM-sat-NORM","edge"
0.963618592505644,1522.37566862816,2,0,1,0,"PPM-sat-NORM","edge"
0.884419623498119,NA,1,1,0,1,"PPM-sat-NORM","edge"
0.987252118763179,105.710283925988,2,1,0,0,"PPM-sat-NORM","edge"
0.943684658044218,421.867523190526,1,0,1,1,"PPM-sat-NORM","edge"
0.892046228986634,286.674226304959,2,1,0,0,"PPM-sat-NORM","edge"
0.826900643199839,53.2216188554019,1,0,0,2,"PPM-sat-NORM","edge"
0.97593910799753,15.5733166082547,2,0,1,0,"PPM-sat-NORM","edge"
0.827244781525522,6850.97727542339,0,1,1,1,"PPM-sat-NORM","edge"
0.834661434981426,2412.33850884091,0,1,1,1,"PPM-sat-NORM","edge"
0.987404954010493,8.80164488562849,2,0,1,0,"PPM-sat-NORM","edge"
0.787599746727445,122.33131784018,1,1,1,0,"PPM-sat-NORM","edge"
0.668443474541232,0.534693038164634,0,2,1,0,"PPM-sat-NORM","edge"
0.826920307987725,0.809252811131767,1,1,0,1,"PPM-sat-NORM","edge"
0.59656939654876,39.8731219502248,0,2,0,1,"PPM-sat-NORM","edge"
0.969963609702277,16.5704899672795,2,0,1,0,"PPM-sat-NORM","edge"
0.982128196266876,7.49792538807994,1,1,1,0,"PPM-sat-NORM","edge"
0.931887622547472,2.09341689199934,2,0,1,0,"PPM-sat-NORM","edge"
0.964215882350963,78.3821086907303,1,2,0,0,"PPM-sat-NORM","edge"
0.884768303794814,5.69097645520496,1,0,1,1,"PPM-sat-NORM","edge"
0.882737584525238,98107.0579178692,1,1,1,0,"PPM-sat-NORM","edge"
0.92475519458531,83.0426812673093,0,0,1,2,"PPM-sat-NORM","edge"
0.407567847601463,Inf,1,1,0,1,"PPM-sat-NORM","edge"
0.985062414960835,15.0569517000838,2,1,0,0,"PPM-sat-NORM","edge"
0.965507598074812,1362.46324050904,1,1,1,0,"PPM-sat-NORM","edge"
0.977487503793277,13.9979147465244,1,0,2,0,"PPM-sat-NORM","edge"
0.940292239327473,3.30347802785162,1,2,0,0,"PPM-sat-NORM","edge"
0.921557267232368,246.311481490854,2,1,0,0,"PPM-sat-NORM","edge"
0.960499916795933,20.0022354266217,1,0,1,1,"PPM-sat-NORM","edge"
0.977232341467189,2.68630154467614,2,0,1,0,"PPM-sat-NORM","edge"
0.235099500399752,9.74295726978174,1,1,1,0,"PPM-sat-NORM","edge"
0.27646804897763,1.69623628252575,0,2,0,1,"PPM-sat-NORM","edge"
0.971859660158802,13.3689747279946,1,2,0,0,"PPM-sat-NORM","edge"
0.959243867313903,16.4758674171712,2,1,0,0,"PPM-sat-NORM","edge"
0.961085666516936,48.3061739238167,1,1,0,1,"PPM-sat-NORM","edge"
0.960089892456871,14.2423152379001,2,0,1,0,"PPM-sat-NORM","edge"
0.962683242559709,51.7882850726202,1,2,0,0,"PPM-sat-NORM","edge"
0.971862217613941,10434.9577182523,1,1,1,0,"PPM-sat-NORM","edge"
0.958081361860806,2.14138505514801,1,0,0,2,"PPM-sat-NORM","edge"
0.963294744075788,5.21968669513974,3,0,0,0,"PPM-sat-NORM","edge"
0.96358128578489,28.8707271161102,1,0,2,0,"PPM-sat-NORM","edge"
0.379995933874746,5650.80957836707,1,0,0,2,"PPM-sat-NORM","edge"
0.852097656367471,1.48311861717655,1,1,0,1,"PPM-sat-NORM","edge"
0.973534600850029,145.256533544022,1,1,1,0,"PPM-sat-NORM","edge"
0.932450537392746,Inf,1,2,0,0,"PPM-sat-NORM","edge"
0.954143371559522,57.1777403554472,1,0,1,1,"PPM-sat-NORM","edge"
0.951988552102881,31.5813548662127,2,1,0,0,"PPM-sat-NORM","edge"
0.928124099591612,541.674833084942,1,2,0,0,"PPM-sat-NORM","edge"
0.971870907464409,11.42447129753,2,0,0,1,"PPM-sat-NORM","edge"
0.609637777242058,54.7017961668771,0,0,1,2,"PPM-sat-NORM","edge"
0.925473452118345,59.6312794671202,1,1,1,0,"PPM-sat-NORM","edge"
0.95486359141734,29.1402234860442,1,0,0,2,"PPM-sat-NORM","edge"
0.795806645876584,2.47397428619949,0,2,1,0,"PPM-sat-NORM","edge"
0.926323694601732,37.4416666015385,1,0,1,1,"PPM-sat-NORM","edge"
0.981981837984644,21.7165347504872,2,0,1,0,"PPM-sat-NORM","edge"
0.787686816478785,40.5709879389647,1,1,0,1,"PPM-sat-NORM","edge"
0.867716576997237,93.7183416543503,0,2,0,1,"PPM-sat-NORM","edge"
0.950820977884687,77012.4933356266,2,0,0,1,"PPM-sat-NORM","edge"
0.867896838923723,NA,1,1,0,1,"PPM-sat-NORM","edge"
0.773538668479549,3.34705185279254,2,1,0,0,"PPM-sat-NORM","edge"
0.950275891822367,140.621165351171,1,0,1,1,"PPM-sat-NORM","edge"
0.96192734644494,30.1126879055253,2,0,1,0,"PPM-sat-NORM","edge"
0.613098685009793,1.59079500102924,1,2,0,0,"PPM-sat-NORM","edge"
0.960475676327449,44.0413172790111,2,0,1,0,"PPM-sat-NORM","edge"
0.961794976623822,52.8630722151049,1,0,1,1,"PPM-sat-NORM","edge"
0.990467571864322,4.31918975739401,1,0,1,1,"PPM-sat-NORM","edge"
0.966587733224436,23.9754305178169,1,1,1,0,"PPM-sat-NORM","edge"
0.96894984904728,5098.76998001838,2,1,0,0,"PPM-sat-NORM","edge"
0.854993665505869,482.830326686992,1,2,0,0,"PPM-sat-NORM","edge"
0.925460851454245,14.9918131804451,1,2,0,0,"PPM-sat-NORM","edge"
0.964008059153124,23.691362164722,3,0,0,0,"PPM-sat-NORM","edge"
0.912141399545861,4.76941865013889,1,0,1,1,"PPM-sat-NORM","edge"
0.960859766503464,1313.78984138401,1,0,2,0,"PPM-sat-NORM","edge"
0.986495556269483,95.8853291135109,2,0,0,1,"PPM-sat-NORM","edge"
0.938899579419181,9.18405427605954,3,0,0,0,"PPM-sat-NORM","edge"
0.877143460556649,120.339001522835,1,0,1,1,"PPM-sat-NORM","edge"
0.763145455748293,55478.6989669977,1,0,1,1,"PPM-sat-NORM","edge"
0.908732967936602,50.1322634519131,0,0,2,1,"PPM-sat-NORM","edge"
0.805197477815462,46681.0491053105,0,1,1,1,"PPM-sat-NORM","edge"
