"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.967093343136324,2812.63751892101,1,0,0,2,"PPM-sat","edge"
0.973594749322038,1.01611986324465,1,1,0,1,"PPM-sat","edge"
0.962654495492096,0.223252263334267,3,0,0,0,"PPM-sat","edge"
0.947030089510306,1.36973253963281,1,0,1,1,"PPM-sat","edge"
0.956058576815098,24.3385380217128,2,1,0,0,"PPM-sat","edge"
0.969657563243565,9.10062860175819,1,2,0,0,"PPM-sat","edge"
0.971537994314444,0.484213091066925,3,0,0,0,"PPM-sat","edge"
0.965158661976964,255.862301209984,1,1,0,1,"PPM-sat","edge"
0.973971777977881,1.17826989317922,2,1,0,0,"PPM-sat","edge"
0.968504424203269,2.69528227779589,3,0,0,0,"PPM-sat","edge"
0.985549242598366,2.86471079929344,0,0,2,1,"PPM-sat","edge"
0.936085528765263,4.50477187015599,2,1,0,0,"PPM-sat","edge"
0.966477495004411,0.233678643365199,1,0,1,1,"PPM-sat","edge"
0.971711660025271,11.6596348886904,1,0,2,0,"PPM-sat","edge"
0.961588463561913,4.39062265320762,2,1,0,0,"PPM-sat","edge"
0.971525513267833,0.4639278517274,1,1,0,1,"PPM-sat","edge"
0.916944963992744,1.28078056692789,0,0,2,1,"PPM-sat","edge"
0.692559410745041,2.88930920249057,1,0,0,2,"PPM-sat","edge"
0.954314356724651,1.63219416573307,2,1,0,0,"PPM-sat","edge"
0.982545065077449,369.90309754732,0,1,0,2,"PPM-sat","edge"
0.889902564272973,1074.3398672494,1,1,0,1,"PPM-sat","edge"
0.980636217173527,7.11551948846293,1,1,0,1,"PPM-sat","edge"
0.975696992908212,0.650078169781529,0,0,3,0,"PPM-sat","edge"
0.742346522957829,8.41233561413986,1,2,0,0,"PPM-sat","edge"
0.96140689247992,10500.8800975922,1,0,2,0,"PPM-sat","edge"
0.983253509119681,0.572013653558994,2,1,0,0,"PPM-sat","edge"
0.950934007128857,4.59376876017398,1,1,0,1,"PPM-sat","edge"
0.952151467357589,19.287122500856,0,1,1,1,"PPM-sat","edge"
0.92905271473589,9.26090804036257,2,1,0,0,"PPM-sat","edge"
0.862848040079839,610.132714941818,1,1,1,0,"PPM-sat","edge"
0.970377844828682,42.2815224172226,2,0,0,1,"PPM-sat","edge"
0.965853412718171,13.9956490824803,1,1,1,0,"PPM-sat","edge"
0.934773306599318,0.49242658517688,1,2,0,0,"PPM-sat","edge"
0.876339694654009,12.864302465905,1,0,1,1,"PPM-sat","edge"
0.944445135057944,57.6810898914099,1,0,2,0,"PPM-sat","edge"
0.858721990715632,11.5365742803192,0,3,0,0,"PPM-sat","edge"
0.953529482168642,8.06809356932021,0,1,0,2,"PPM-sat","edge"
0.976912449772477,4.4044168057969,3,0,0,0,"PPM-sat","edge"
0.928062967511765,1976.27095830542,1,1,0,1,"PPM-sat","edge"
0.961540259769895,21.2095815319113,1,0,1,1,"PPM-sat","edge"
0.983068482701026,0.467526537355021,3,0,0,0,"PPM-sat","edge"
0.984625050891848,1.71754308582853,0,2,0,1,"PPM-sat","edge"
0.990474199076204,70.8851338022837,0,1,1,1,"PPM-sat","edge"
0.966129635036767,1.79813416010329,0,2,0,1,"PPM-sat","edge"
0.994311843050556,1.24143229694863,1,1,0,1,"PPM-sat","edge"
0.985825680983751,1.13116776917141,2,0,1,0,"PPM-sat","edge"
0.976675290215591,4.31403373809443,0,2,1,0,"PPM-sat","edge"
0.82023562894619,595.342053781938,1,0,0,2,"PPM-sat","edge"
0.910020235549457,35495.7049902089,0,1,0,2,"PPM-sat","edge"
0.968344260445782,2.81004460400071,0,1,0,2,"PPM-sat","edge"
0.991749080253443,2.93248156109878,1,0,1,1,"PPM-sat","edge"
0.986566329662008,104.554401777979,0,0,2,1,"PPM-sat","edge"
0.968095236792504,0.381158076264575,2,0,1,0,"PPM-sat","edge"
0.920800504837638,4.28145018291325,1,1,1,0,"PPM-sat","edge"
0.951776345830753,57.6245599939679,0,1,0,2,"PPM-sat","edge"
0.605850558977967,6.44112895921675,1,0,1,1,"PPM-sat","edge"
0.960066800867029,4370.63021206217,1,1,1,0,"PPM-sat","edge"
0.919334443021155,1588964.96977411,0,2,0,1,"PPM-sat","edge"
0.983319059527014,23.3965379663674,1,0,1,1,"PPM-sat","edge"
0.98598116688893,0.078517305006895,2,1,0,0,"PPM-sat","edge"
0.985012161152732,0.879720179644307,1,0,1,1,"PPM-sat","edge"
0.949289249785697,2.29929773961658,0,2,1,0,"PPM-sat","edge"
0.980387003451714,1.00886855087743,1,0,1,1,"PPM-sat","edge"
0.928507269739866,203.28589057055,0,0,1,2,"PPM-sat","edge"
0.859228667757262,85.7296672176155,1,1,1,0,"PPM-sat","edge"
0.807320486865046,7.90164788129234,1,0,1,1,"PPM-sat","edge"
0.798256455097292,250.950792225658,1,1,1,0,"PPM-sat","edge"
0.976136122121288,554.473789524351,0,3,0,0,"PPM-sat","edge"
0.953579472328842,10.6479448267425,1,0,1,1,"PPM-sat","edge"
0.995121406441293,0.0853038000466175,1,0,1,1,"PPM-sat","edge"
0.948278921017506,0.599947190474329,2,1,0,0,"PPM-sat","edge"
0.709706993908337,14.5940284180753,2,1,0,0,"PPM-sat","edge"
0.938269654145784,2.92399858644522,0,1,0,2,"PPM-sat","edge"
0.991230268391068,0.373170333406431,2,0,0,1,"PPM-sat","edge"
0.958966865006006,897.143440544199,1,0,0,2,"PPM-sat","edge"
0.952677862636296,2.78711354581135,1,1,1,0,"PPM-sat","edge"
0.98066374075628,0.0755334130041026,2,0,1,0,"PPM-sat","edge"
0.969017913826183,2.80666323796787,2,0,1,0,"PPM-sat","edge"
0.97252543030292,0.0922916072540961,2,0,1,0,"PPM-sat","edge"
0.960978523777065,80.7870853540665,2,0,1,0,"PPM-sat","edge"
0.705596292224763,555.515959809911,1,1,1,0,"PPM-sat","edge"
0.969885246445338,1.55982004510881,1,0,2,0,"PPM-sat","edge"
0.906109441857835,8.75664687832696,2,1,0,0,"PPM-sat","edge"
0.981074499388476,12.1438730303105,3,0,0,0,"PPM-sat","edge"
0.941139449068945,17.7228728620867,1,2,0,0,"PPM-sat","edge"
0.73523828460025,50.6908049580635,0,1,1,1,"PPM-sat","edge"
0.885138469510157,6.61333097552993,0,2,0,1,"PPM-sat","edge"
0.898419124325028,4.75281859437956,2,0,0,1,"PPM-sat","edge"
0.946789857636829,14.1163236006016,0,0,2,1,"PPM-sat","edge"
0.984123320255882,2.4463536972552,2,0,1,0,"PPM-sat","edge"
0.976713831905804,0.443606815989355,1,0,2,0,"PPM-sat","edge"
0.968035926253431,2.73545847900179,1,1,0,1,"PPM-sat","edge"
0.992972337786038,0.18188387224607,1,0,2,0,"PPM-sat","edge"
0.970547223667283,15.9168986370249,1,1,0,1,"PPM-sat","edge"
0.987335742446265,0.17399303032202,2,0,0,1,"PPM-sat","edge"
