"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.913685675753159,NA,0,0,1,2,"PPM-step","edge"
0.969893249822893,0.590357653101826,2,0,1,0,"PPM-step","edge"
0.981088671572342,0.261868551812206,2,0,0,1,"PPM-step","edge"
0.940417276575079,NA,3,0,0,0,"PPM-step","edge"
0.984427911185798,0.856192781037526,2,0,1,0,"PPM-step","edge"
0.943736979401408,NA,1,0,0,2,"PPM-step","edge"
0.882867905879119,NA,0,1,0,2,"PPM-step","edge"
0.958993399513764,NA,1,2,0,0,"PPM-step","edge"
0.85562094784707,NA,1,2,0,0,"PPM-step","edge"
0.954329829719451,3.48767574325111,3,0,0,0,"PPM-step","edge"
0.970144661351811,NA,1,1,0,1,"PPM-step","edge"
0.960831164046475,NA,1,1,0,1,"PPM-step","edge"
0.97991235316497,NA,1,0,2,0,"PPM-step","edge"
0.987377227941854,NA,2,0,1,0,"PPM-step","edge"
0.947582276993572,NA,3,0,0,0,"PPM-step","edge"
0.76507356407186,NA,1,0,0,2,"PPM-step","edge"
0.983390167813566,0.177236571347425,2,0,1,0,"PPM-step","edge"
0.984791211115337,0.0857614762595417,0,1,2,0,"PPM-step","edge"
0.96528491583273,NA,1,0,1,1,"PPM-step","edge"
0.98312052281737,0.388643066184417,2,1,0,0,"PPM-step","edge"
0.737949772981175,NA,0,3,0,0,"PPM-step","edge"
0.979194367724643,NA,1,0,1,1,"PPM-step","edge"
0.962173465238677,NA,2,0,1,0,"PPM-step","edge"
0.972803870672863,0.0975162894358328,0,2,1,0,"PPM-step","edge"
0.970984941907328,NA,0,2,1,0,"PPM-step","edge"
0.981213713671178,NA,1,0,1,1,"PPM-step","edge"
0.96379516679664,NA,1,1,0,1,"PPM-step","edge"
0.941450209397842,NA,2,0,1,0,"PPM-step","edge"
0.960353782734517,0.544742804361573,1,0,1,1,"PPM-step","edge"
0.981863010702077,NA,2,1,0,0,"PPM-step","edge"
0.888823229705987,NA,1,1,1,0,"PPM-step","edge"
0.794229927769279,NA,0,1,1,1,"PPM-step","edge"
0.985184153650296,0.0307694082638426,2,0,1,0,"PPM-step","edge"
0.978184137666544,NA,2,0,1,0,"PPM-step","edge"
0.984442891787609,NA,0,1,1,1,"PPM-step","edge"
0.976389067779446,0.606972189128816,2,0,0,1,"PPM-step","edge"
0.94128074908675,NA,1,2,0,0,"PPM-step","edge"
0.981975564059938,NA,1,0,2,0,"PPM-step","edge"
0.978303974544767,NA,1,0,0,2,"PPM-step","edge"
0.960623795053069,NA,2,1,0,0,"PPM-step","edge"
0.910487046055131,NA,0,0,1,2,"PPM-step","edge"
0.982165342653959,NA,2,0,1,0,"PPM-step","edge"
0.985517481639573,NA,1,0,1,1,"PPM-step","edge"
0.903056334771715,NA,0,3,0,0,"PPM-step","edge"
0.911639893483925,NA,1,1,1,0,"PPM-step","edge"
0.962334372794066,NA,2,1,0,0,"PPM-step","edge"
0.936369285260121,1.12201614742442,2,1,0,0,"PPM-step","edge"
0.981160440222263,1.45927356203713,1,0,2,0,"PPM-step","edge"
0.962492574514037,0.827307973673596,3,0,0,0,"PPM-step","edge"
0.920098088905609,NA,1,1,0,1,"PPM-step","edge"
