"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
-0.0657688615634422,4239.19075515638,0,0,1,2,"Ellipses-NORM","outer"
0.252487173911569,290.57897839318,2,0,1,0,"Ellipses-NORM","outer"
0.325861031427884,34.3778427235575,2,0,0,1,"Ellipses-NORM","outer"
0.362908202354153,256.612110307855,3,0,0,0,"Ellipses-NORM","outer"
0.306441175467665,30.4138825200278,2,0,1,0,"Ellipses-NORM","outer"
0.34389828681925,22.0550943818106,1,0,0,2,"Ellipses-NORM","outer"
-0.12663487936387,3570.10217698388,0,1,0,2,"Ellipses-NORM","outer"
0.354158688719286,21.2914411983057,1,2,0,0,"Ellipses-NORM","outer"
-0.161302011783117,6155.19876963825,1,2,0,0,"Ellipses-NORM","outer"
0.258321330473575,54.0400594143238,3,0,0,0,"Ellipses-NORM","outer"
0.229616057317195,110.92362687449,1,1,0,1,"Ellipses-NORM","outer"
0.2176224911376,208.391136061059,1,1,0,1,"Ellipses-NORM","outer"
0.298085769388703,3126.96294368878,1,0,2,0,"Ellipses-NORM","outer"
0.238750034971124,4109.20299287629,2,0,1,0,"Ellipses-NORM","outer"
0.16157018849576,85.1291942574503,3,0,0,0,"Ellipses-NORM","outer"
0.249118390551439,198.789537530994,1,0,0,2,"Ellipses-NORM","outer"
0.257972095471407,2507.96599755692,2,0,1,0,"Ellipses-NORM","outer"
0.20739077946752,46.8736741032431,0,1,2,0,"Ellipses-NORM","outer"
0.321819942041714,75.3482959343943,1,0,1,1,"Ellipses-NORM","outer"
0.294760721646326,35.150268083814,2,1,0,0,"Ellipses-NORM","outer"
-0.13930837321975,2583.2570161266,0,3,0,0,"Ellipses-NORM","outer"
0.471543502363126,35.8522263900188,1,0,1,1,"Ellipses-NORM","outer"
0.197373326454848,1089.84911745564,2,0,1,0,"Ellipses-NORM","outer"
0.323572812846019,1.24765860860195,0,2,1,0,"Ellipses-NORM","outer"
-0.0552230436377638,807.714505303462,0,2,1,0,"Ellipses-NORM","outer"
0.126791949333289,127.340483765981,1,0,1,1,"Ellipses-NORM","outer"
0.443951857145846,18.2152065016487,1,1,0,1,"Ellipses-NORM","outer"
0.13655395239017,107.994935820651,2,0,1,0,"Ellipses-NORM","outer"
0.174581692371798,77.7422804392255,1,0,1,1,"Ellipses-NORM","outer"
0.152883848967488,154.125653807112,2,1,0,0,"Ellipses-NORM","outer"
-0.165039565045496,1501.54983364857,1,1,1,0,"Ellipses-NORM","outer"
-0.189871329077057,1484.43183138935,0,1,1,1,"Ellipses-NORM","outer"
0.153183970091715,70.2604458655929,2,0,1,0,"Ellipses-NORM","outer"
0.291327316812356,260.857688683599,2,0,1,0,"Ellipses-NORM","outer"
0.475965073261538,18.2720268988476,0,1,1,1,"Ellipses-NORM","outer"
0.196687045084472,41.6780654839092,2,0,0,1,"Ellipses-NORM","outer"
-0.00960191712022903,463.2798470887,1,2,0,0,"Ellipses-NORM","outer"
0.287625021618838,50.0970419872128,1,0,2,0,"Ellipses-NORM","outer"
0.16798597996529,142.236493247892,1,0,0,2,"Ellipses-NORM","outer"
0.30183721799316,4492.73342792488,2,1,0,0,"Ellipses-NORM","outer"
-0.0968033472693706,1222.4762163851,0,0,1,2,"Ellipses-NORM","outer"
0.235135782689743,414.739909863418,2,0,1,0,"Ellipses-NORM","outer"
0.358667355704648,94.8847086133779,1,0,1,1,"Ellipses-NORM","outer"
0.105402131442406,508.244033513892,0,3,0,0,"Ellipses-NORM","outer"
-0.0962985935244464,3877.11070076027,1,1,1,0,"Ellipses-NORM","outer"
0.267891775555523,502.562256297059,2,1,0,0,"Ellipses-NORM","outer"
0.219532301078867,1228.76283441511,2,1,0,0,"Ellipses-NORM","outer"
0.189266421674427,302.015201143044,1,0,2,0,"Ellipses-NORM","outer"
0.168053612117927,2700.86607580976,3,0,0,0,"Ellipses-NORM","outer"
0.308627946527,21.059660287361,1,1,0,1,"Ellipses-NORM","outer"
-0.0557912450673937,5494.64387955698,2,0,0,1,"Ellipses-NORM","outer"
0.214455177454075,2360.60717234337,3,0,0,0,"Ellipses-NORM","outer"
0.194332172085461,39.647579437801,1,0,2,0,"Ellipses-NORM","outer"
0.141207885949325,220.697451596243,1,2,0,0,"Ellipses-NORM","outer"
0.261436323762318,4411.54509959633,1,0,0,2,"Ellipses-NORM","outer"
-0.0601337039399874,465.013497989137,0,3,0,0,"Ellipses-NORM","outer"
-0.104180822868474,2717.24494951986,1,1,0,1,"Ellipses-NORM","outer"
-0.0279229472905902,425.736378854184,0,1,2,0,"Ellipses-NORM","outer"
0.435864753323634,8.42557974211106,0,2,0,1,"Ellipses-NORM","outer"
-0.00827657828181499,862.46628071866,1,1,1,0,"Ellipses-NORM","outer"
0.322077006755691,132.451833297394,1,2,0,0,"Ellipses-NORM","outer"
-0.0391340746883737,221.292395533706,0,1,1,1,"Ellipses-NORM","outer"
0.156979614468092,737.138340849876,2,0,0,1,"Ellipses-NORM","outer"
0.231423252705418,26.2239438589664,1,1,1,0,"Ellipses-NORM","outer"
-0.0930103816862655,5665.80380527493,1,1,1,0,"Ellipses-NORM","outer"
0.315747695056249,427.342940677577,2,0,1,0,"Ellipses-NORM","outer"
0.479562610375756,51.4960599281171,0,0,3,0,"Ellipses-NORM","outer"
0.297488251719489,63.9939327424756,0,1,2,0,"Ellipses-NORM","outer"
-0.174693684218804,3271.80260747284,1,0,1,1,"Ellipses-NORM","outer"
0.0345278859179915,229.459439482604,2,0,0,1,"Ellipses-NORM","outer"
0.27067787705891,73.7557034410342,0,2,1,0,"Ellipses-NORM","outer"
0.316380791787948,20.4902971219084,1,1,0,1,"Ellipses-NORM","outer"
0.0722625286322634,265.275381169846,1,2,0,0,"Ellipses-NORM","outer"
0.262131921059126,49.1981105914756,2,0,0,1,"Ellipses-NORM","outer"
-0.101687816783929,2312.81062633157,2,1,0,0,"Ellipses-NORM","outer"
0.290010571261794,7161.6408341047,2,0,1,0,"Ellipses-NORM","outer"
0.0293066589047311,239.727315559282,1,1,0,1,"Ellipses-NORM","outer"
0.296181464087623,75.2333289990067,2,1,0,0,"Ellipses-NORM","outer"
-0.0207457585950985,1294.85327400842,1,0,1,1,"Ellipses-NORM","outer"
-0.105585866337934,1007.64815528533,2,1,0,0,"Ellipses-NORM","outer"
-0.108778995045364,1253.57983517014,1,0,0,2,"Ellipses-NORM","outer"
0.220653434402415,6856.32524906133,2,0,1,0,"Ellipses-NORM","outer"
0.144960045900616,178.81440749014,0,1,1,1,"Ellipses-NORM","outer"
0.371657938291064,21.268774965988,0,1,1,1,"Ellipses-NORM","outer"
0.160281550954554,368.878138888904,2,0,1,0,"Ellipses-NORM","outer"
0.213567569504841,33.9299940284756,1,1,1,0,"Ellipses-NORM","outer"
-0.0879141736030549,1323.77207776129,0,2,1,0,"Ellipses-NORM","outer"
-0.0866293851665924,1858.29088356392,1,1,0,1,"Ellipses-NORM","outer"
0.366550543039013,0.138242271929444,0,2,0,1,"Ellipses-NORM","outer"
0.210275205708773,42.3753599552287,2,0,1,0,"Ellipses-NORM","outer"
0.234617044798582,157.790347657336,1,1,1,0,"Ellipses-NORM","outer"
0.268344808407024,4658.7921416933,2,0,1,0,"Ellipses-NORM","outer"
0.25519253676307,277.565037449607,1,2,0,0,"Ellipses-NORM","outer"
0.00448868806566512,332.226621972619,1,0,1,1,"Ellipses-NORM","outer"
0.186194622051708,23.6893734894937,1,1,1,0,"Ellipses-NORM","outer"
0.388978139385192,28.7143556126667,0,0,1,2,"Ellipses-NORM","outer"
0.365628056719386,315.990392581471,1,1,0,1,"Ellipses-NORM","outer"
0.301714051974457,3743.39071870402,2,1,0,0,"Ellipses-NORM","outer"
