"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.822247533620736,6.36646978385453,0,0,1,2,"PPM-sat-NORM","outer"
0.989808778370515,169.158174562663,2,0,1,0,"PPM-sat-NORM","outer"
0.927897920820179,17.5592031019581,2,0,0,1,"PPM-sat-NORM","outer"
0.987685834217726,NA,3,0,0,0,"PPM-sat-NORM","outer"
0.987962361772048,59.8976338319042,2,0,1,0,"PPM-sat-NORM","outer"
0.93376580813862,NA,1,0,0,2,"PPM-sat-NORM","outer"
0.8274531643804,3.6707669873055,0,1,0,2,"PPM-sat-NORM","outer"
0.925210567859147,16.5799410400263,1,2,0,0,"PPM-sat-NORM","outer"
0.731774587263565,9.72496706468413,1,2,0,0,"PPM-sat-NORM","outer"
0.983403833865131,52.6651659445484,3,0,0,0,"PPM-sat-NORM","outer"
0.882602713605412,277.720220695365,1,1,0,1,"PPM-sat-NORM","outer"
0.943998982508774,86.0357127628653,1,1,0,1,"PPM-sat-NORM","outer"
0.975870833715929,53.6387185558403,1,0,2,0,"PPM-sat-NORM","outer"
0.93541173481398,16.2747155108105,2,0,1,0,"PPM-sat-NORM","outer"
0.973612649685554,Inf,3,0,0,0,"PPM-sat-NORM","outer"
0.534910605945844,172.408068710493,1,0,0,2,"PPM-sat-NORM","outer"
0.968607110872546,62.6080835162223,2,0,1,0,"PPM-sat-NORM","outer"
0.969912636129694,177.184136326824,0,1,2,0,"PPM-sat-NORM","outer"
0.946514986431109,195.171019437451,1,0,1,1,"PPM-sat-NORM","outer"
0.832464545259293,342.371693589557,2,1,0,0,"PPM-sat-NORM","outer"
0.936445229354202,7.60572315123076,0,3,0,0,"PPM-sat-NORM","outer"
0.921556460008223,22.4478112407744,1,0,1,1,"PPM-sat-NORM","outer"
0.975469062555097,115.528184381234,2,0,1,0,"PPM-sat-NORM","outer"
0.847876874488012,0.529080550455664,0,2,1,0,"PPM-sat-NORM","outer"
0.961671709243741,9.70679374321107,0,2,1,0,"PPM-sat-NORM","outer"
0.965091171574666,9.8066782738308,1,0,1,1,"PPM-sat-NORM","outer"
0.82063041347302,4.43030680693327,1,1,0,1,"PPM-sat-NORM","outer"
0.937574482443082,19.1947093366183,2,0,1,0,"PPM-sat-NORM","outer"
0.96192601265097,Inf,1,0,1,1,"PPM-sat-NORM","outer"
0.969282571470824,16778.4218121052,2,1,0,0,"PPM-sat-NORM","outer"
0.963284948062279,NA,1,1,1,0,"PPM-sat-NORM","outer"
0.828134541269615,4718.08962767989,0,1,1,1,"PPM-sat-NORM","outer"
0.956043312708504,23.5999591817753,2,0,1,0,"PPM-sat-NORM","outer"
0.946442524172356,145.851370673762,2,0,1,0,"PPM-sat-NORM","outer"
0.786859292686742,2.44213087119596,0,1,1,1,"PPM-sat-NORM","outer"
0.883421985948279,89.4323558922919,2,0,0,1,"PPM-sat-NORM","outer"
0.892904352054885,294.385873844682,1,2,0,0,"PPM-sat-NORM","outer"
0.960212847323593,46.3987068401535,1,0,2,0,"PPM-sat-NORM","outer"
0.914186737622838,1.09340063077166,1,0,0,2,"PPM-sat-NORM","outer"
0.980615784697356,1103.84741333074,2,1,0,0,"PPM-sat-NORM","outer"
0.76553506574693,7.36119264848246,0,0,1,2,"PPM-sat-NORM","outer"
0.971452041793635,2895.92802295571,2,0,1,0,"PPM-sat-NORM","outer"
0.924485753237563,250.789643254061,1,0,1,1,"PPM-sat-NORM","outer"
0.926161979130996,221.777998385034,0,3,0,0,"PPM-sat-NORM","outer"
0.801105731222463,7.03817799754029,1,1,1,0,"PPM-sat-NORM","outer"
0.907505692819248,NA,2,1,0,0,"PPM-sat-NORM","outer"
0.960650539788936,NA,2,1,0,0,"PPM-sat-NORM","outer"
0.984043153584314,354.491235048258,1,0,2,0,"PPM-sat-NORM","outer"
0.978421227423348,1264.83416863749,3,0,0,0,"PPM-sat-NORM","outer"
0.828042424668031,5.05422951206707,1,1,0,1,"PPM-sat-NORM","outer"
0.84871172342428,158.936747020066,2,0,0,1,"PPM-sat-NORM","outer"
0.964318503373861,41.2349525204048,3,0,0,0,"PPM-sat-NORM","outer"
0.92859209544063,12325.6250829444,1,0,2,0,"PPM-sat-NORM","outer"
0.92863591961064,1.26650145498335,1,2,0,0,"PPM-sat-NORM","outer"
0.816162038943752,25.3447768957242,1,0,0,2,"PPM-sat-NORM","outer"
0.929109248455212,685.586907062398,0,3,0,0,"PPM-sat-NORM","outer"
0.90808937983818,1.26029108589101,1,1,0,1,"PPM-sat-NORM","outer"
0.966139638611331,Inf,0,1,2,0,"PPM-sat-NORM","outer"
0.923421536677234,1.26770115975289,0,2,0,1,"PPM-sat-NORM","outer"
0.940257463187464,1.71343550093574,1,1,1,0,"PPM-sat-NORM","outer"
0.983219904546111,147.520577853445,1,2,0,0,"PPM-sat-NORM","outer"
0.915955318018439,NA,0,1,1,1,"PPM-sat-NORM","outer"
0.968397565364047,NA,2,0,0,1,"PPM-sat-NORM","outer"
0.984889861041951,17.5857592499122,1,1,1,0,"PPM-sat-NORM","outer"
0.773109385701015,0.808795737222464,1,1,1,0,"PPM-sat-NORM","outer"
0.96011062275374,205.314974535126,2,0,1,0,"PPM-sat-NORM","outer"
