"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.816936426774046,39.3224372017891,1,0,0,2,"PPM-step","outer"
0.79532679313655,NA,1,0,1,1,"PPM-step","outer"
0.459749670489719,NA,0,2,0,1,"PPM-step","outer"
0.953159703986725,NA,1,0,2,0,"PPM-step","outer"
0.982742469422792,NA,2,0,0,1,"PPM-step","outer"
0.98782311523055,NA,0,1,0,2,"PPM-step","outer"
0.925029917698036,5.8265640204179,1,0,2,0,"PPM-step","outer"
0.924154903625696,10.5360735381817,2,1,0,0,"PPM-step","outer"
0.936571873450534,NA,3,0,0,0,"PPM-step","outer"
0.345383739292085,NA,1,0,0,2,"PPM-step","outer"
0.904496077771943,NA,1,1,0,1,"PPM-step","outer"
0.790775013785891,NA,1,0,1,1,"PPM-step","outer"
0.970666705175933,NA,1,1,0,1,"PPM-step","outer"
0.982028863925364,NA,1,0,0,2,"PPM-step","outer"
0.98959458457278,NA,2,0,1,0,"PPM-step","outer"
0.936093528638131,NA,2,0,1,0,"PPM-step","outer"
0.964583417286958,NA,3,0,0,0,"PPM-step","outer"
0.909812953573415,11.2323860596097,2,1,0,0,"PPM-step","outer"
0.119778653507035,NA,1,1,0,1,"PPM-step","outer"
0.61987733095917,NA,1,0,1,1,"PPM-step","outer"
0.946986958727802,NA,3,0,0,0,"PPM-step","outer"
0.0914216127670475,NA,1,1,0,1,"PPM-step","outer"
0.889986416384587,8.31534141860302,2,0,0,1,"PPM-step","outer"
0.992459175361369,13.6482928654406,2,0,1,0,"PPM-step","outer"
0.913587643620907,23.298353613376,2,0,1,0,"PPM-step","outer"
0.960688569105697,NA,1,1,1,0,"PPM-step","outer"
0.608250235197348,NA,0,1,0,2,"PPM-step","outer"
0.941268664777313,NA,3,0,0,0,"PPM-step","outer"
0.984131416136198,NA,2,0,1,0,"PPM-step","outer"
0.962496914505928,NA,1,1,1,0,"PPM-step","outer"
0.941127457510846,NA,1,1,1,0,"PPM-step","outer"
0.979513758466635,NA,2,1,0,0,"PPM-step","outer"
0.13418334972951,NA,0,1,0,2,"PPM-step","outer"
0.961187321631816,NA,1,0,1,1,"PPM-step","outer"
0.977700267494089,NA,0,1,1,1,"PPM-step","outer"
0.981560634557214,NA,0,0,2,1,"PPM-step","outer"
0.197837189516976,NA,1,1,1,0,"PPM-step","outer"
0.897531746530914,NA,1,0,1,1,"PPM-step","outer"
0.416933456008874,NA,1,1,0,1,"PPM-step","outer"
0.866748192076512,15.6032834978668,2,0,0,1,"PPM-step","outer"
0.951507553551816,NA,0,1,1,1,"PPM-step","outer"
0.971108556599568,NA,2,0,0,1,"PPM-step","outer"
0.954246122102848,NA,2,0,1,0,"PPM-step","outer"
0.974092600158498,NA,2,0,1,0,"PPM-step","outer"
0.98854731208625,NA,2,0,0,1,"PPM-step","outer"
0.871796186666553,NA,0,2,0,1,"PPM-step","outer"
0.922701366093766,NA,1,1,1,0,"PPM-step","outer"
0.959785054365751,NA,1,0,0,2,"PPM-step","outer"
0.95279736256192,NA,2,1,0,0,"PPM-step","outer"
0.977283854992566,NA,3,0,0,0,"PPM-step","outer"
0.942354816933159,NA,0,1,1,1,"PPM-step","outer"
0.265109843667109,NA,0,2,0,1,"PPM-step","outer"
0.96153629662439,NA,1,0,1,1,"PPM-step","outer"
0.224142514791246,NA,0,1,2,0,"PPM-step","outer"
0.941309495874731,7.51117857104418,3,0,0,0,"PPM-step","outer"
0.833105019342776,NA,2,1,0,0,"PPM-step","outer"
0.484621459753138,NA,1,1,1,0,"PPM-step","outer"
0.316029096531439,NA,2,1,0,0,"PPM-step","outer"
0.565352440940051,NA,1,1,0,1,"PPM-step","outer"
0.2965857741443,NA,2,1,0,0,"PPM-step","outer"
