"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.972711329845799,0.107469075242461,2,0,1,0,"PPM"
0.920351557951933,0.0516491282553174,2,0,0,1,"PPM"
0.962470532103573,0.00240221944550553,1,0,1,1,"PPM"
0.959817924403104,1.27503666469836,1,0,0,2,"PPM"
0.952910303828198,0.180292628166326,1,0,0,2,"PPM"
0.962249143947698,0.677968702048052,1,0,1,1,"PPM"
0.939465050069873,0.685400815160502,2,0,0,1,"PPM"
0.93978919052158,0.05732002626196,1,0,0,2,"PPM"
0.948774246835667,0.147535401272337,1,0,2,0,"PPM"
0.964744750604989,0.0172996264032644,2,1,0,0,"PPM"
0.917913559165119,3.77834068962222,1,1,0,1,"PPM"
0.960230210961044,14.2662700730385,0,2,0,1,"PPM"
0.96498716248605,1.38398651096399,0,2,1,0,"PPM"
0.941202163878142,0.0758260570896683,2,1,0,0,"PPM"
0.959880740939317,0.399187567467584,1,1,0,1,"PPM"
0.938277582928961,1.21849219839294,1,1,0,1,"PPM"
0.934445154624335,1.04568231457256,1,2,0,0,"PPM"
0.934289373516046,0.0707719852130254,2,0,0,1,"PPM"
0.943543095316621,3.94368791806425,0,2,0,1,"PPM"
0.951021789064553,0.113969507460429,2,0,1,0,"PPM"
0.964878145638128,0.774538005482235,1,1,1,0,"PPM"
0.945983042955153,3.96382433670823,1,1,0,1,"PPM"
0.970139711300849,0.0161229811652538,1,0,2,0,"PPM"
0.936418876672423,0.0267129091218805,3,0,0,0,"PPM"
0.942595424687872,1.42327455348307,1,1,0,1,"PPM"
0.932630766541155,1.21128347679173,2,0,0,1,"PPM"
0.94570376331533,0.482552017839223,2,0,1,0,"PPM"
0.930491071016077,0.295817189095964,1,1,0,1,"PPM"
0.912549926948847,0.0407660430476094,3,0,0,0,"PPM"
0.957736647557858,0.0546701897212578,3,0,0,0,"PPM"
0.971503690501726,0.0655354938506614,1,1,1,0,"PPM"
0.964851653872527,0.00539384603840648,2,0,0,1,"PPM"
0.933785062056736,6.73924447367625,0,1,1,1,"PPM"
0.912183256084815,0.0298059902438276,2,0,0,1,"PPM"
0.974904185426493,0.11948481850846,1,1,1,0,"PPM"
0.958327860556,0.134287634737708,2,0,1,0,"PPM"
0.966058330395916,0.569126557158551,3,0,0,0,"PPM"
0.980359300673546,6.56044547903444,1,0,0,2,"PPM"
0.941117989506341,0.0605211812303307,3,0,0,0,"PPM"
0.957028728435445,0.552813796215173,0,1,1,1,"PPM"
0.96751441933894,1.34838389717935,1,0,2,0,"PPM"
0.725491065595639,64.7027438967314,0,0,2,1,"PPM"
0.940555727986657,0.018276786729169,3,0,0,0,"PPM"
0.958955872287212,0.114849943847145,1,0,2,0,"PPM"
0.963247411822732,0.241592607069412,1,0,1,1,"PPM"
0.98126470876391,0.007159458075436,0,0,2,1,"PPM"
0.977821218839337,0.0120747089090385,1,1,0,1,"PPM"
0.948368777591909,0.0318773883675481,2,0,1,0,"PPM"
0.950068271491375,0.118870440859489,2,1,0,0,"PPM"
0.953456005859864,0.178408884258813,0,2,1,0,"PPM"
0.974662703873975,0.00253732463946689,3,0,0,0,"PPM"
0.942293278056271,0.321756413658261,0,2,0,1,"PPM"
0.958821226650959,0.0921901069422793,0,1,2,0,"PPM"
0.962859808022479,0.00530410429792427,2,0,0,1,"PPM"
0.931964349389811,0.0154690154653603,2,0,0,1,"PPM"
0.971709886642172,1.22275947835532,0,1,1,1,"PPM"
0.940378996035455,0.202149872318106,1,1,1,0,"PPM"
0.952222011455198,0.0174115984690874,1,0,0,2,"PPM"
0.868681870839865,1.43942566463512,0,1,0,2,"PPM"
0.935491565230365,0.090202933033292,1,1,0,1,"PPM"
0.94969116605847,6.25358584461833,2,1,0,0,"PPM"
0.933624982991733,0.0419870534517615,3,0,0,0,"PPM"
0.905133304124338,150.354922447724,1,0,1,1,"PPM"
0.859334956265232,1754.51553847407,0,0,1,2,"PPM"
0.958518993796372,3.70787262921695,0,2,1,0,"PPM"
0.946065046955787,0.0255779422016507,2,1,0,0,"PPM"
0.976280054294111,0.747229862691417,1,1,1,0,"PPM"
0.978665992959435,6.1259866436709,0,0,0,3,"PPM"
0.931183476272353,0.177234657802585,2,0,1,0,"PPM"
0.965522208694809,0.0207155358751421,1,0,2,0,"PPM"
0.94190057932981,1.82658519245274,1,0,1,1,"PPM"
0.966041708897551,0.0315277949829558,1,1,0,1,"PPM"
0.938859243624066,0.0689854719754355,2,0,0,1,"PPM"
0.971401770150259,4.3883101872138,0,2,0,1,"PPM"
0.95286407078922,1913.42913239318,0,1,0,2,"PPM"
0.962604518736355,0.0401402915006532,1,1,0,1,"PPM"
0.909197504347355,274.10790919996,1,1,0,1,"PPM"
0.970225790913811,0.00458830243768355,0,1,1,1,"PPM"
0.964971215562067,0.104668218607543,0,2,0,1,"PPM"
0.97122742755309,0.000176182483142898,3,0,0,0,"PPM"
0.972425749898952,0.00810360123546364,1,1,0,1,"PPM"
0.931422688435778,1.39092467818973,2,0,0,1,"PPM"
0.965638903926709,1.37389788454844,2,1,0,0,"PPM"
0.966598028217747,0.151405554422678,2,0,1,0,"PPM"
0.94371558581111,1050.32608653428,0,1,1,1,"PPM"
0.936111267257323,0.424049751018167,1,0,0,2,"PPM"
0.954875667578818,2.83698544780044,1,1,0,1,"PPM"
0.962697677062096,0.11971037450419,2,0,1,0,"PPM"
0.972500548705058,0.243468572612344,0,1,1,1,"PPM"
0.95959115933104,0.00150937489614807,2,0,0,1,"PPM"
0.946902964833369,0.0129722294734858,2,0,0,1,"PPM"
0.939293747556929,0.0707189218365177,2,0,0,1,"PPM"
0.977599462887247,0.1872443462449,0,1,1,1,"PPM"
0.971792343699515,36.8247322681599,0,1,1,1,"PPM"
0.977880673130738,0.427436857960045,0,1,2,0,"PPM"
0.949862727305914,0.0954638753239682,2,0,0,1,"PPM"
0.913823748846929,76.8249331069908,1,1,0,1,"PPM"
0.935285254430798,0.0230154064053023,1,0,0,2,"PPM"
0.978270013311525,0.0508359359035975,0,1,2,0,"PPM"
0.936934762238829,20.8226961946485,1,2,0,0,"PPM"
0.985200567119788,0.878395573233069,0,1,1,1,"PPM"
0.942000619400399,0.0526607913296585,2,0,1,0,"PPM"
0.950022030839808,0.120506290780167,0,1,1,1,"PPM"
0.973965727037643,0.323757192381775,1,0,1,1,"PPM"
0.9680454611837,0.167067373258504,1,0,1,1,"PPM"
0.933288019551656,1.01464274297134,2,0,1,0,"PPM"
0.966586693170669,0.00894182892751444,3,0,0,0,"PPM"
0.974481388248443,5.2032490910797,0,3,0,0,"PPM"
0.966961639415473,0.174229122228005,1,0,1,1,"PPM"
0.968629285789996,0.0200935567933939,2,0,0,1,"PPM"
0.958359912676672,0.0141647560142081,2,0,1,0,"PPM"
0.968239749191704,0.0257125632504271,1,2,0,0,"PPM"
0.948910769528754,1.1135452608842,0,0,1,2,"PPM"
0.959093389963159,0.0277856575726856,1,0,2,0,"PPM"
0.953921491924611,733.57647247646,0,1,1,1,"PPM"
0.948142083849522,2.39518354255127,1,2,0,0,"PPM"
0.979948487454739,1.29472561721583,1,1,1,0,"PPM"
0.876259196279276,33.8648649331493,1,1,0,1,"PPM"
0.956286757410268,0.669258525726299,1,2,0,0,"PPM"
0.978961768570042,0.00148888638525873,1,2,0,0,"PPM"
0.960109537892116,1.02055630386205,1,1,1,0,"PPM"
0.972944912252748,1.19309008080007,1,0,0,2,"PPM"
0.959197565765498,0.600577780733949,1,0,2,0,"PPM"
0.951199686827317,0.148621851443678,0,1,1,1,"PPM"
0.64392151091451,41544.9520692424,2,0,0,1,"PPM"
0.976436800537179,0.0254763251794962,1,1,1,0,"PPM"
0.93464603367236,3.01952579516638,2,0,1,0,"PPM"
