"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.053903607368133,21.6575614249002,0,0,1,2,"Ellipses","random"
0.667698728863157,2.2325835178832,2,0,1,0,"Ellipses","random"
0.736308160294528,0.18996222238567,2,0,0,1,"Ellipses","random"
0.70207586823545,1.09581001707128,3,0,0,0,"Ellipses","random"
0.71531284392308,1.81976744091794,2,0,1,0,"Ellipses","random"
0.688856871953987,0.744490011475157,1,0,0,2,"Ellipses","random"
0.465634310191145,5.38734456714795,0,1,0,2,"Ellipses","random"
0.556399418125502,5.3728484165425,1,2,0,0,"Ellipses","random"
0.486354101757962,3.98168435866266,1,2,0,0,"Ellipses","random"
0.698943395426723,1.36926612850324,3,0,0,0,"Ellipses","random"
0.690355641133676,1.18428978983625,1,1,0,1,"Ellipses","random"
0.618209787466671,1.14064471340378,1,1,0,1,"Ellipses","random"
0.889689487833622,0.192400576067591,1,0,2,0,"Ellipses","random"
0.751364284394255,0.913472371017139,2,0,1,0,"Ellipses","random"
0.873535846782465,0.272017508420147,3,0,0,0,"Ellipses","random"
0.438969027572738,1.94864064904489,1,0,0,2,"Ellipses","random"
0.835349692129531,0.416878543666142,2,0,1,0,"Ellipses","random"
0.841024921103638,0.505042143944351,0,1,2,0,"Ellipses","random"
0.673503948512445,1.32317250089568,1,0,1,1,"Ellipses","random"
0.684450756302439,0.500920434429294,2,1,0,0,"Ellipses","random"
0.546636961422303,2.34811331381891,0,3,0,0,"Ellipses","random"
0.528883072776648,7.37182406128013,1,0,1,1,"Ellipses","random"
0.930486283259026,0.122555335620872,2,0,1,0,"Ellipses","random"
0.780393987099144,0.453151685690951,0,2,1,0,"Ellipses","random"
0.549481275842771,2.8268149431086,0,2,1,0,"Ellipses","random"
0.637761813661255,2.25497539676196,1,0,1,1,"Ellipses","random"
0.626575757965493,1.49009240822513,1,1,0,1,"Ellipses","random"
0.732137716038402,0.846690046593461,2,0,1,0,"Ellipses","random"
0.677334017074243,2.45539499954674,1,0,1,1,"Ellipses","random"
0.811639642771747,0.490110196270641,2,1,0,0,"Ellipses","random"
0.60834573619272,1.21142068045959,1,1,1,0,"Ellipses","random"
0.519879500851611,4.87960499438515,0,1,1,1,"Ellipses","random"
0.682082811654605,2.10871304812573,2,0,1,0,"Ellipses","random"
0.462996513822284,5.48676055215548,2,0,1,0,"Ellipses","random"
0.619157151393457,1.55009721131045,0,1,1,1,"Ellipses","random"
0.486428276476862,5.68723260318217,2,0,0,1,"Ellipses","random"
0.700708663077651,0.414694533536114,1,2,0,0,"Ellipses","random"
