"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.911571683829411,34.1940519714254,2,1,0,0,"PPM","random"
0.70070233961514,4.95489295449534,0,1,2,0,"PPM","random"
0.938641728091226,0.0170090523826882,3,0,0,0,"PPM","random"
0.0926016935142049,63.5308925581114,0,1,1,1,"PPM","random"
0.930671123014788,0.181070675149048,0,1,1,1,"PPM","random"
0.952428911401509,0.0678125302778707,2,0,0,1,"PPM","random"
0.816768900803729,2.93413905685064,0,2,0,1,"PPM","random"
0.937272687545198,1443.54947892907,0,0,1,2,"PPM","random"
0.977542434522585,0.747027790047817,1,0,0,2,"PPM","random"
0.96821007370046,0.528966770400402,1,1,1,0,"PPM","random"
0.972140975855628,0.378557713738045,2,0,1,0,"PPM","random"
0.96048372796125,0.0953756740058783,1,0,2,0,"PPM","random"
0.878861807215733,192.16709952919,1,0,1,1,"PPM","random"
0.93897627092691,2.31262094750225,2,0,0,1,"PPM","random"
0.952221440818914,0.77653330780168,2,0,0,1,"PPM","random"
0.638932192446622,4.37319896841926,0,1,1,1,"PPM","random"
0.967226116073023,0.0968590736162913,1,1,1,0,"PPM","random"
0.962338836108609,195.553214863273,0,1,1,1,"PPM","random"
0.982765221645613,0.704867438120529,1,1,1,0,"PPM","random"
0.786140493778976,3.11234827035114,0,2,1,0,"PPM","random"
0.979703136540957,0.0355340211928549,1,1,1,0,"PPM","random"
0.983863753431309,0.187764324355416,2,0,1,0,"PPM","random"
0.640000511815711,597.821589522002,1,1,1,0,"PPM","random"
0.648287563449119,410.522382457836,0,0,2,1,"PPM","random"
0.951552927205846,194.486798650606,1,1,1,0,"PPM","random"
0.953640046753349,0.302424925797836,2,0,0,1,"PPM","random"
0.955273878599224,1.38903537411915,3,0,0,0,"PPM","random"
0.916413798964626,0.865994302202724,0,2,0,1,"PPM","random"
0.966512910653728,0.561575708591017,2,0,1,0,"PPM","random"
0.968091613022334,0.29225431084895,2,0,0,1,"PPM","random"
0.980577791741406,0.568426510741894,0,0,2,1,"PPM","random"
0.973759492044389,0.882551531226916,2,0,0,1,"PPM","random"
0.922156811119624,6.69964085849024,2,0,0,1,"PPM","random"
0.966630278428423,1.0645426635563,2,0,1,0,"PPM","random"
0.570047048073984,2.95897141394604,1,1,0,1,"PPM","random"
0.97503629345879,4.42212028056167,2,0,1,0,"PPM","random"
0.980414131271552,4.76676380441052,1,2,0,0,"PPM","random"
0.984583899045231,8.22501265217684,2,0,0,1,"PPM","random"
0.9799801681349,2.18380787546615,2,0,1,0,"PPM","random"
0.966446723440606,4613751.90479061,2,0,1,0,"PPM","random"
0.760464368938143,20.5629960927885,1,0,0,2,"PPM","random"
0.687960966704672,2.28136120975802,1,1,0,1,"PPM","random"
0.898349432694726,36.9598781781707,1,1,1,0,"PPM","random"
0.365971517938409,9.25298501034493,2,1,0,0,"PPM","random"
0.946737154259674,1.07745713742798,1,0,1,1,"PPM","random"
0.944190019075941,0.0977414778081454,3,0,0,0,"PPM","random"
0.966027429610946,23.3136635139826,1,0,1,1,"PPM","random"
0.956380351362532,3.26571525480278,2,1,0,0,"PPM","random"
0.968516636255698,2.00113843299576,0,0,1,2,"PPM","random"
0.904603667183894,0.795329201688873,0,1,1,1,"PPM","random"
0.970753396216009,13.3543834961502,1,0,0,2,"PPM","random"
0.972299187185022,0.139564727908285,2,0,0,1,"PPM","random"
0.684365484868359,7.68110413806094,1,2,0,0,"PPM","random"
0.939041526947777,1.01405236203537,1,0,1,1,"PPM","random"
0.947406730027501,6.45685407453085,0,2,0,1,"PPM","random"
0.958851732805256,0.0942864359008488,1,0,0,2,"PPM","random"
0.962226998199199,7.32946844558034,0,2,1,0,"PPM","random"
0.89905344754972,50.2312017240779,1,0,0,2,"PPM","random"
0.99211670358978,0.27025535435685,2,0,0,1,"PPM","random"
0.938657400830831,0.0690315483701331,2,0,0,1,"PPM","random"
0.973728236327767,0.0341130135481188,1,0,2,0,"PPM","random"
0.960774533844409,0.0451887676733102,2,1,0,0,"PPM","random"
0.967796405449924,0.045926271068134,2,1,0,0,"PPM","random"
0.955173766488047,7.47072299660149,1,2,0,0,"PPM","random"
0.899297907405608,504.446130579022,2,0,0,1,"PPM","random"
0.972126661616259,0.056622902001295,1,1,1,0,"PPM","random"
0.777123030458397,84.3496507142026,1,1,0,1,"PPM","random"
0.982520417401217,0.321075002380271,0,1,0,2,"PPM","random"
0.98051763936294,1.9817337477262,1,1,0,1,"PPM","random"
0.887231452347083,8.55765768789043,0,1,1,1,"PPM","random"
0.971167112438539,1.12818765588246,1,1,1,0,"PPM","random"
0.969155031673212,1.52432729171224,2,0,0,1,"PPM","random"
0.880614443175267,1.62888408629775,0,1,0,2,"PPM","random"
0.990276760943977,0.129500454126296,1,2,0,0,"PPM","random"
0.973169715764314,0.240171767306149,2,0,0,1,"PPM","random"
0.978326805072785,2.09799448994968,1,0,1,1,"PPM","random"
0.926301199110794,0.0747964456229485,3,0,0,0,"PPM","random"
0.965401924782699,0.236556905186865,0,0,2,1,"PPM","random"
0.966199667654502,0.440632463860024,2,0,1,0,"PPM","random"
0.961876268317176,5.35978105567596,0,2,0,1,"PPM","random"
0.953458332941482,71.4259476027868,0,0,1,2,"PPM","random"
0.971079419535724,8.90062767148252,2,1,0,0,"PPM","random"
0.891291067819019,84.199031442473,1,0,0,2,"PPM","random"
0.941161328830891,91.3280705325501,0,1,1,1,"PPM","random"
0.96974597607979,0.0746412656723842,0,1,2,0,"PPM","random"
0.982310214611079,0.0907075498202702,2,1,0,0,"PPM","random"
0.940313949402599,0.0316896089856116,1,0,1,1,"PPM","random"
0.542739691205146,4.46455648066519,1,0,0,2,"PPM","random"
0.95431315622531,2.12044307999382,2,0,1,0,"PPM","random"
0.920248666406105,0.0594393076673556,3,0,0,0,"PPM","random"
0.970890552173522,0.223695387360105,3,0,0,0,"PPM","random"
0.948229928079927,1.46696144053507,2,1,0,0,"PPM","random"
0.992019958670269,418.33451441625,2,0,1,0,"PPM","random"
0.983901337604896,0.505763446226527,2,0,1,0,"PPM","random"
0.953869863957778,0.205968687193001,0,2,1,0,"PPM","random"
0.822232277914524,19.7643694754388,2,0,0,1,"PPM","random"
0.9754504359793,1.35292200342844,2,1,0,0,"PPM","random"
0.894804765810309,26.6792982621103,0,1,1,1,"PPM","random"
0.970994003106107,0.195004230707893,2,0,0,1,"PPM","random"
0.786291096686696,2.57818991337377,2,1,0,0,"PPM","random"
0.986485410641399,0.0103335316231532,1,1,1,0,"PPM","random"
0.966286659922943,17.3290018790665,1,1,0,1,"PPM","random"
0.852004529099658,316.918943666657,2,1,0,0,"PPM","random"
0.840798308278278,64.6859676031138,1,1,1,0,"PPM","random"
0.973187622319605,413.212238132703,1,1,0,1,"PPM","random"
0.97230925095588,0.00639440246275077,3,0,0,0,"PPM","random"
0.924243549186887,2.47499951180005,0,1,2,0,"PPM","random"
0.96123244816339,0.403963029092461,1,0,1,1,"PPM","random"
0.800210223819177,4.97629787130648,0,1,0,2,"PPM","random"
0.960319187320638,0.630683728022384,2,0,1,0,"PPM","random"
0.920045018583813,5.15580622635936,0,1,1,1,"PPM","random"
0.762049069114549,2.38851280734589,0,3,0,0,"PPM","random"
0.8645266754549,3.96532176800649,0,1,1,1,"PPM","random"
0.958989040634282,187.541048817336,1,0,0,2,"PPM","random"
0.965994686514308,0.302053758824225,1,0,0,2,"PPM","random"
0.953769427745795,1.48442218523254,2,0,1,0,"PPM","random"
0.888818332248063,9.89867028668116,1,1,0,1,"PPM","random"
0.984682554476336,4.73791288365434,2,0,1,0,"PPM","random"
0.931450580934595,0.0846698794274489,1,0,1,1,"PPM","random"
