"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach","centr.conf"
0.838784659641051,26.6582096991387,0,0,1,2,"PPM-sat","random"
0.965370703002144,1.0000669422682,2,0,1,0,"PPM-sat","random"
0.800111588121765,1.3159496936695,2,0,0,1,"PPM-sat","random"
0.961907478909251,0.164617738466608,3,0,0,0,"PPM-sat","random"
0.966739735866758,0.426526171128309,2,0,1,0,"PPM-sat","random"
0.935842786897977,0.132614101450751,1,0,0,2,"PPM-sat","random"
0.854957413038715,16.0582623228355,0,1,0,2,"PPM-sat","random"
0.972408390548129,9.65294363347473,1,2,0,0,"PPM-sat","random"
0.928182916248819,22.8433457449692,1,2,0,0,"PPM-sat","random"
0.930160393090333,19.6136586691875,3,0,0,0,"PPM-sat","random"
0.962473807870466,0.0802361018291094,1,1,0,1,"PPM-sat","random"
0.968982562272556,0.323785884429032,1,1,0,1,"PPM-sat","random"
0.959642936659166,0.830931853044739,1,0,2,0,"PPM-sat","random"
0.974732077893891,0.0212713886970768,2,0,1,0,"PPM-sat","random"
0.942393352502105,0.0940431984676223,3,0,0,0,"PPM-sat","random"
0.806348875403903,4.36975805466424,1,0,0,2,"PPM-sat","random"
0.985590269218192,0.0218957480267574,2,0,1,0,"PPM-sat","random"
0.98001222770031,0.192253382804555,0,1,2,0,"PPM-sat","random"
0.983411196330554,0.476657051699155,1,0,1,1,"PPM-sat","random"
0.813591220366214,2.43854016883353,2,1,0,0,"PPM-sat","random"
0.879042038745282,471760.611807203,0,3,0,0,"PPM-sat","random"
0.958049212309429,527.66059222615,1,0,1,1,"PPM-sat","random"
0.918561347256324,0.0184937196633198,2,0,1,0,"PPM-sat","random"
0.969245874562014,0.0507249595069073,0,2,1,0,"PPM-sat","random"
0.90385493234893,1.48189802251657,0,2,1,0,"PPM-sat","random"
0.940850882170585,0.791763958364726,1,0,1,1,"PPM-sat","random"
0.686977998357274,306.068777584246,1,1,0,1,"PPM-sat","random"
0.912089723296808,1.47357703522,2,0,1,0,"PPM-sat","random"
0.962556366740943,4.29115820451076,1,0,1,1,"PPM-sat","random"
0.989439464484486,0.0952861765414851,2,1,0,0,"PPM-sat","random"
0.857389570219935,2.70109763236685,1,1,1,0,"PPM-sat","random"
0.802737264007215,27.1611719101777,0,1,1,1,"PPM-sat","random"
0.971063497748046,0.346505727743431,2,0,1,0,"PPM-sat","random"
0.973156740080306,13.5894979065352,2,0,1,0,"PPM-sat","random"
0.950482080047481,0.38451193390212,0,1,1,1,"PPM-sat","random"
0.963748062940157,216.844929560606,2,0,0,1,"PPM-sat","random"
0.934566272126505,6.7243419411105,1,2,0,0,"PPM-sat","random"
0.981313622139832,0.0112021333687185,1,0,2,0,"PPM-sat","random"
0.947493834470966,64.0591003496088,1,0,0,2,"PPM-sat","random"
0.956843125777848,1.27570315111821,2,1,0,0,"PPM-sat","random"
0.832875399533437,41.5999478005648,0,0,1,2,"PPM-sat","random"
0.961378225056375,3.58707654591508,2,0,1,0,"PPM-sat","random"
0.879417168118143,6.07554323798885,1,0,1,1,"PPM-sat","random"
0.852839597756546,141.973850575712,0,3,0,0,"PPM-sat","random"
0.901883191591748,38.1390517118916,1,1,1,0,"PPM-sat","random"
0.947676698498718,0.585795849031576,2,1,0,0,"PPM-sat","random"
0.919422172536255,0.406149603141638,2,1,0,0,"PPM-sat","random"
0.975943201864383,0.551396605740002,1,0,2,0,"PPM-sat","random"
0.974986054658365,0.0323574006390866,3,0,0,0,"PPM-sat","random"
0.543619831998891,2.2711964860132,1,1,0,1,"PPM-sat","random"
0.818248143976396,78.5671684945632,2,0,0,1,"PPM-sat","random"
0.958445431682856,0.00683137083772512,3,0,0,0,"PPM-sat","random"
0.960051505487999,3.75588485655404,1,0,2,0,"PPM-sat","random"
0.826897068302546,3.17596423025663,1,2,0,0,"PPM-sat","random"
0.963014986347372,0.515107358470894,1,0,0,2,"PPM-sat","random"
0.941505075673213,64.4671320483526,0,3,0,0,"PPM-sat","random"
0.886120157984312,332.065423063603,1,1,0,1,"PPM-sat","random"
0.934143592673651,8.87812907031824,0,1,2,0,"PPM-sat","random"
0.891790123187053,3.90987871720974,0,2,0,1,"PPM-sat","random"
0.848999306564668,93.2733050378848,1,1,1,0,"PPM-sat","random"
0.978057755322661,3.72760356976852,1,2,0,0,"PPM-sat","random"
0.850052181419476,17.0233271585944,0,1,1,1,"PPM-sat","random"
0.928453474789778,0.350908425688383,2,0,0,1,"PPM-sat","random"
0.977853867559902,0.0235202370470504,1,1,1,0,"PPM-sat","random"
0.846060866591984,3.67115720474534,1,1,1,0,"PPM-sat","random"
0.973983759364999,0.0103476416555596,2,0,1,0,"PPM-sat","random"
0.979324198615184,0.10414381014764,0,0,3,0,"PPM-sat","random"
0.97962897933988,2.99912497903621,0,1,2,0,"PPM-sat","random"
0.591178839130801,3.08131031540748,1,0,1,1,"PPM-sat","random"
0.921930042103413,2.0945901921258,2,0,0,1,"PPM-sat","random"
0.946768023737521,409.879392879695,0,2,1,0,"PPM-sat","random"
0.865562691838832,10.0944545650328,1,1,0,1,"PPM-sat","random"
0.981517001309399,0.351693262437344,1,2,0,0,"PPM-sat","random"
0.98699941799956,0.346067151371823,2,0,0,1,"PPM-sat","random"
0.910077681030524,9.12793602925332,2,1,0,0,"PPM-sat","random"
0.926828770700282,1.11157083583839,2,0,1,0,"PPM-sat","random"
0.920990050845971,127.199296536307,1,1,0,1,"PPM-sat","random"
0.977057997179535,0.307123107140489,2,1,0,0,"PPM-sat","random"
0.987191907477435,0.409956089690365,1,0,1,1,"PPM-sat","random"
0.905385679771627,1.76271336249539,2,1,0,0,"PPM-sat","random"
0.569829682466063,8.97375798187799,1,0,0,2,"PPM-sat","random"
0.979323338474228,0.0209664076861405,2,0,1,0,"PPM-sat","random"
0.879763268114026,9.03786971569385,0,1,1,1,"PPM-sat","random"
0.761246689300815,62.6774827182633,0,1,1,1,"PPM-sat","random"
0.974814882663062,0.283666359718149,2,0,1,0,"PPM-sat","random"
0.380008158042428,11.8815750909423,1,1,1,0,"PPM-sat","random"
0.536265644028402,59.4208770605547,0,2,1,0,"PPM-sat","random"
0.892209953487786,73.0312521765664,1,1,0,1,"PPM-sat","random"
0.698739849473681,68.0316120756781,0,2,0,1,"PPM-sat","random"
0.960497553589772,0.0234385224672215,2,0,1,0,"PPM-sat","random"
0.938856904775936,0.484293528904456,1,1,1,0,"PPM-sat","random"
0.977007590977465,0.241264625790897,2,0,1,0,"PPM-sat","random"
0.864139032797256,1.71548856908788,1,2,0,0,"PPM-sat","random"
0.91989359455464,29.4395140400951,1,0,1,1,"PPM-sat","random"
0.823996863664588,42.7757292923866,1,1,1,0,"PPM-sat","random"
0.978565202339434,1.32957282638239,0,0,1,2,"PPM-sat","random"
0.702307428203115,4.33358705327879,1,1,0,1,"PPM-sat","random"
0.975954794487722,0.973659883925341,2,1,0,0,"PPM-sat","random"
0.96769750551303,0.023263419394035,1,1,1,0,"PPM-sat","random"
0.980693748271893,0.0685554330426862,1,0,2,0,"PPM-sat","random"
0.917842489871269,47871.9697951903,1,2,0,0,"PPM-sat","random"
0.893633395595311,42.2693928559561,2,1,0,0,"PPM-sat","random"
0.976633643141512,0.128460602427952,1,0,1,1,"PPM-sat","random"
0.947022060861325,0.128568654796685,2,0,1,0,"PPM-sat","random"
0.583671590346275,64.1885344202069,1,1,1,0,"PPM-sat","random"
0.677695669624467,217.358107059221,0,2,0,1,"PPM-sat","random"
0.977180459338672,0.031927739273365,1,2,0,0,"PPM-sat","random"
0.968028157149472,0.444722081266274,2,1,0,0,"PPM-sat","random"
0.949859778532098,0.89983837873409,1,1,0,1,"PPM-sat","random"
0.9263219334184,14.2169967049813,2,0,1,0,"PPM-sat","random"
0.974685659866503,0.00225538983126273,1,2,0,0,"PPM-sat","random"
0.780777149769579,0.961518286148773,1,1,1,0,"PPM-sat","random"
0.992826297479926,0.0745060286375471,1,0,0,2,"PPM-sat","random"
0.93618872328384,0.272261585050798,3,0,0,0,"PPM-sat","random"
0.977096301541401,1.8394529840508,1,0,2,0,"PPM-sat","random"
0.652112838794255,5676.8115399698,1,0,0,2,"PPM-sat","random"
0.789412577639831,9.04075455325843,1,1,0,1,"PPM-sat","random"
0.937538059800563,2.96233065916502,1,1,1,0,"PPM-sat","random"
0.967966818778312,112.486605596246,1,2,0,0,"PPM-sat","random"
0.9419862458588,503.989981788317,1,0,1,1,"PPM-sat","random"
0.951523222517068,0.0789846542207042,2,1,0,0,"PPM-sat","random"
0.946858679359283,33.1818941355352,1,2,0,0,"PPM-sat","random"
0.977871293592976,0.12052586726303,2,0,0,1,"PPM-sat","random"
0.535353304702829,32.4334103882034,0,0,1,2,"PPM-sat","random"
0.969977856997471,0.217971993408729,1,1,1,0,"PPM-sat","random"
0.907039688633975,54.6962600894631,1,0,0,2,"PPM-sat","random"
0.833413791763609,1091.17743240181,0,2,1,0,"PPM-sat","random"
0.866440298140144,10.2688426245967,1,0,1,1,"PPM-sat","random"
0.967590413115835,0.0355151879360239,2,0,1,0,"PPM-sat","random"
0.967497593334812,0.312184500286032,1,1,0,1,"PPM-sat","random"
0.754219094553743,5.04142821278951,0,2,0,1,"PPM-sat","random"
0.940051601419989,0.254733878917134,2,0,0,1,"PPM-sat","random"
0.680972320422418,26.4329036924297,1,1,0,1,"PPM-sat","random"
0.952605327719402,57.3144384646441,2,1,0,0,"PPM-sat","random"
0.972746488486786,29.5723875221247,1,0,1,1,"PPM-sat","random"
0.954730807123,5.50518406943235,2,0,1,0,"PPM-sat","random"
0.23352179583622,21.6143493804499,1,2,0,0,"PPM-sat","random"
0.973551760230565,0.0854265753790739,2,0,1,0,"PPM-sat","random"
0.946077113889747,0.719479286998265,1,0,1,1,"PPM-sat","random"
0.96747401094714,0.467868136433789,1,0,1,1,"PPM-sat","random"
0.935188583055491,0.165646248327508,1,1,1,0,"PPM-sat","random"
0.934323005070119,0.597093651890966,2,1,0,0,"PPM-sat","random"
0.944438024850141,11.7438268649097,1,2,0,0,"PPM-sat","random"
0.943543589902015,5.8539003000419,1,2,0,0,"PPM-sat","random"
0.974401158316637,0.134893695060307,3,0,0,0,"PPM-sat","random"
0.918023411182612,1.49700565946853,1,0,1,1,"PPM-sat","random"
0.969341693484133,0.0218719209916459,1,0,2,0,"PPM-sat","random"
0.945619000483664,0.570397474309644,2,0,0,1,"PPM-sat","random"
0.979558045903002,0.123219546698024,3,0,0,0,"PPM-sat","random"
0.940189632767266,0.185804645735427,1,0,1,1,"PPM-sat","random"
0.959419176849696,329.563362225289,1,0,1,1,"PPM-sat","random"
0.963866196278632,0.957319177521877,0,0,2,1,"PPM-sat","random"
0.9460840761267,41.9495280883582,0,1,1,1,"PPM-sat","random"
0.988270598842535,0.17058607210667,1,1,1,0,"PPM-sat","random"
0.972463768208692,2.03422739795776,1,0,1,1,"PPM-sat","random"
0.969962252616579,0.200240829143102,2,0,0,1,"PPM-sat","random"
0.951203705554234,1.84960739018255,2,0,1,0,"PPM-sat","random"
0.949152441631266,0.0617167414030289,3,0,0,0,"PPM-sat","random"
0.979535963070604,0.341601208202855,1,1,0,1,"PPM-sat","random"
0.735844914792708,941.980424398917,2,0,0,1,"PPM-sat","random"
0.979678338515948,0.113405798775831,1,0,1,1,"PPM-sat","random"
0.944537938313537,6.32902658069276,1,1,1,0,"PPM-sat","random"
0.903468276800542,0.289072841245264,1,1,1,0,"PPM-sat","random"
0.972534611312292,3.58567596282481,0,0,2,1,"PPM-sat","random"
0.957978354723382,0.611028096623348,1,2,0,0,"PPM-sat","random"
0.926150513491814,0.835795829708931,2,0,0,1,"PPM-sat","random"
0.969143014351446,321603.392782584,2,0,0,1,"PPM-sat","random"
0.970000973764239,5.34683121174728,1,0,1,1,"PPM-sat","random"
0.967816758786055,1.65455382396826,2,1,0,0,"PPM-sat","random"
0.947485461438605,13.1680518159119,1,0,1,1,"PPM-sat","random"
0.990356397131501,0.0838751699628015,1,1,0,1,"PPM-sat","random"
0.954224677816821,0.292856467714851,2,0,1,0,"PPM-sat","random"
0.894370218431569,7.73535854191861,2,0,0,1,"PPM-sat","random"
0.825214677923521,186.557694450557,1,1,0,1,"PPM-sat","random"
0.746924337700257,5.49982751044049,2,0,0,1,"PPM-sat","random"
0.955782732714225,0.0433444560726221,3,0,0,0,"PPM-sat","random"
0.722812859142299,1122.73710845114,1,0,1,1,"PPM-sat","random"
0.923825576424236,57.1791133556191,2,1,0,0,"PPM-sat","random"
0.979950176064843,0.167896056139377,3,0,0,0,"PPM-sat","random"
0.445457466128126,1923.87500402702,0,1,1,1,"PPM-sat","random"
0.871590186967738,69.2333357760218,0,2,0,1,"PPM-sat","random"
0.914402937942074,0.188365431130495,3,0,0,0,"PPM-sat","random"
0.988477230346745,5.63349331648169,2,0,1,0,"PPM-sat","random"
0.980306536597681,329.266725444439,1,0,0,2,"PPM-sat","random"
0.95584082501131,2.12597227936774,1,1,0,1,"PPM-sat","random"
0.88210838877287,1.83769406784175,1,1,0,1,"PPM-sat","random"
0.946958644308622,0.0726700309579063,1,1,1,0,"PPM-sat","random"
0.971390870797385,0.0885492445461043,2,0,1,0,"PPM-sat","random"
0.974095583729046,1.99326969435087,0,2,0,1,"PPM-sat","random"
0.96746929241714,0.0793721822664307,0,1,2,0,"PPM-sat","random"
0.951063530332402,0.635235420478492,3,0,0,0,"PPM-sat","random"
0.981693004585631,0.10626470835714,0,1,2,0,"PPM-sat","random"
0.93013598100195,0.0689989281110693,2,0,1,0,"PPM-sat","random"
0.944768947305785,0.584457252488799,0,1,2,0,"PPM-sat","random"
0.707612950624255,8.11922735606787,1,1,0,1,"PPM-sat","random"
0.952500155398728,0.206458003759234,1,1,0,1,"PPM-sat","random"
0.861641137897091,57.2916181274193,0,1,0,2,"PPM-sat","random"
0.379770486212834,64.5253263016586,1,1,1,0,"PPM-sat","random"
0.961379083290588,0.244665516198894,2,1,0,0,"PPM-sat","random"
0.961700204411134,0.4419899383674,1,1,0,1,"PPM-sat","random"
0.982998334095928,3.9906997113107,1,0,1,1,"PPM-sat","random"
0.743709034248223,7.77759474769422,1,1,0,1,"PPM-sat","random"
0.967083331694441,0.405314525241874,1,0,0,2,"PPM-sat","random"
0.907826383144117,135.056051981369,0,1,1,1,"PPM-sat","random"
0.934552734090387,5.50240199230475,2,0,1,0,"PPM-sat","random"
0.909383600781678,90.6292970115842,0,2,0,1,"PPM-sat","random"
0.948262006680146,41.0203145509527,1,0,0,2,"PPM-sat","random"
0.95877549383201,0.390058879111346,2,0,1,0,"PPM-sat","random"
0.940725633997013,36.8241957231507,1,0,1,1,"PPM-sat","random"
0.952065512890081,11.2641600748883,1,0,0,2,"PPM-sat","random"
0.924287582778199,8.74589428181852,1,0,1,1,"PPM-sat","random"
0.972663502509251,0.191003526836865,0,0,2,1,"PPM-sat","random"
0.973473688715561,0.0955964905303027,2,0,1,0,"PPM-sat","random"
0.976522656395457,0.0334247133451868,3,0,0,0,"PPM-sat","random"
0.948092715735387,0.190051081127396,3,0,0,0,"PPM-sat","random"
0.965462716767832,1171.32632550163,0,2,1,0,"PPM-sat","random"
0.958782639206458,0.128149909765789,1,0,1,1,"PPM-sat","random"
0.835579628336579,552.433322223673,1,1,0,1,"PPM-sat","random"
0.918672780233939,0.0140179648443541,1,0,2,0,"PPM-sat","random"
0.574593811531774,6.81288611737029,2,0,0,1,"PPM-sat","random"
0.461557465056978,212.459861222015,0,2,0,1,"PPM-sat","random"
0.969002171562322,0.0712076679395466,2,0,1,0,"PPM-sat","random"
0.967431074956918,1.71703918550635,2,0,1,0,"PPM-sat","random"
0.862543002584183,396.807799404785,0,1,1,1,"PPM-sat","random"
0.934253215218621,0.169207634225073,1,0,2,0,"PPM-sat","random"
0.987063858599718,0.664003330548178,2,0,1,0,"PPM-sat","random"
0.983581328832266,0.154831603406149,0,1,1,1,"PPM-sat","random"
0.967349738361676,0.357714984736114,0,1,0,2,"PPM-sat","random"
0.902585448835264,2.99667802140403,0,1,0,2,"PPM-sat","random"
0.941650177469641,1.53154147306378,0,1,1,1,"PPM-sat","random"
0.951612162149235,0.523791992379425,1,1,0,1,"PPM-sat","random"
0.98287208297494,0.159243612868107,2,1,0,0,"PPM-sat","random"
0.950959330895516,7.30255130695987,1,0,0,2,"PPM-sat","random"
0.96141672101426,0.136939189396232,3,0,0,0,"PPM-sat","random"
0.78486328171864,4.55750020075612,1,1,1,0,"PPM-sat","random"
0.923719109665927,8170.87037625175,0,0,2,1,"PPM-sat","random"
0.962077786076203,0.315246200877619,2,0,0,1,"PPM-sat","random"
0.80233432913985,14.2156782633177,1,1,0,1,"PPM-sat","random"
0.949219377678514,0.0110677772525548,2,0,0,1,"PPM-sat","random"
0.938628307698835,0.265729306552608,1,1,1,0,"PPM-sat","random"
0.9448654306343,0.274353575602989,1,1,0,1,"PPM-sat","random"
0.885845216307204,1.01587368420223,0,1,1,1,"PPM-sat","random"
0.973213188117651,0.670559146313672,2,0,0,1,"PPM-sat","random"
0.908826047626513,5.17235085507312,2,0,0,1,"PPM-sat","random"
0.811079871823269,2.3733416969162,0,2,0,1,"PPM-sat","random"
0.908383509381903,1612.48294239351,1,0,0,2,"PPM-sat","random"
0.966242028919145,1.14669706615492,2,0,1,0,"PPM-sat","random"
0.975320640427265,0.927957568088678,1,1,1,0,"PPM-sat","random"
0.927581292665879,1.74143121754562,1,2,0,0,"PPM-sat","random"
0.953623207875061,14.2885897209158,0,1,0,2,"PPM-sat","random"
