"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.973636748913361,0.00377214429041338,2,0,1,0,"Ellipses"
0.879461332854501,0.390438190708564,2,0,1,0,"Ellipses"
0.91225421862558,0.210000147605155,1,0,1,1,"Ellipses"
0.849420179265728,0.39997837128698,1,1,1,0,"Ellipses"
0.947897795097112,0.0490804904819289,1,0,0,2,"Ellipses"
0.86793618404105,0.563264087688756,1,1,1,0,"Ellipses"
0.971959043908797,0.00926220805028919,3,0,0,0,"Ellipses"
0.944684464239087,0.0887419049985472,2,1,0,0,"Ellipses"
0.948879801017892,0.100687167909301,0,1,1,1,"Ellipses"
0.958310618325751,0.0345301667338571,2,0,0,1,"Ellipses"
0.8521494528822,0.425963521250893,1,1,0,1,"Ellipses"
0.978995005268318,0.00685511828903916,1,1,0,1,"Ellipses"
0.879782136092957,0.274937817834321,1,2,0,0,"Ellipses"
0.960039508771467,0.0525275272318297,2,0,0,1,"Ellipses"
0.977092600219016,0.00663573608997368,0,1,0,2,"Ellipses"
0.894091855506468,0.352870165402468,0,2,0,1,"Ellipses"
0.958232702709601,0.033425718689119,1,1,0,1,"Ellipses"
0.955956231969931,0.0490943762149771,2,1,0,0,"Ellipses"
0.95198572822557,0.0504754933630503,3,0,0,0,"Ellipses"
0.958971263870147,0.0343726660255387,2,0,1,0,"Ellipses"
0.96077558185,0.117116358025798,1,0,1,1,"Ellipses"
0.892275364021098,0.382388852481574,1,0,1,1,"Ellipses"
0.889568288146025,0.320657124703033,1,1,1,0,"Ellipses"
0.978000167866471,0.0138174356208337,2,0,0,1,"Ellipses"
0.898223244063096,0.32446781287526,1,0,0,2,"Ellipses"
0.888791385625756,0.294752686484318,1,0,0,2,"Ellipses"
0.944471962357716,0.0726204456047217,1,2,0,0,"Ellipses"
0.876472288956566,0.291993383403039,0,3,0,0,"Ellipses"
0.93914935922758,0.119451470211298,0,1,0,2,"Ellipses"
0.957213459240112,0.0485284474520826,2,1,0,0,"Ellipses"
0.890267486725786,0.301422832168465,0,1,2,0,"Ellipses"
0.942807873047957,0.0961171581024022,0,1,0,2,"Ellipses"
0.96728840978387,0.0158725134896585,2,0,1,0,"Ellipses"
0.860953930213887,0.607747318470461,0,0,1,2,"Ellipses"
0.936583422486405,0.15151371763527,1,1,1,0,"Ellipses"
0.942246150679455,0.0518471471301538,0,2,0,1,"Ellipses"
0.968681996480451,0.0209251494964362,2,1,0,0,"Ellipses"
0.923528804783655,0.347218361539457,1,0,0,2,"Ellipses"
0.911526794949784,0.263377554402377,0,1,2,0,"Ellipses"
0.869708608213273,0.633769992565048,1,1,0,1,"Ellipses"
0.847528942490317,0.541150357746745,1,0,1,1,"Ellipses"
0.949975250135829,0.0374133106586335,0,0,1,2,"Ellipses"
0.912696939635306,0.235876199413709,2,0,1,0,"Ellipses"
0.898564197742801,0.564870033937701,1,0,0,2,"Ellipses"
0.72803252941601,1.42489860011354,1,1,0,1,"Ellipses"
0.953077040241971,0.0314199951395665,2,0,0,1,"Ellipses"
0.93705386014924,0.157673407345953,2,1,0,0,"Ellipses"
0.952435796261934,0.0946882858411466,0,1,2,0,"Ellipses"
0.896610454948859,0.245043928748911,1,1,0,1,"Ellipses"
