"Corr.surf","Dist.true.cent","Normal","Log.norm","Beta","Gamma","approach"
0.95677485739586,0.0761577276012129,0,1,0,2,"Mod-ellipses"
0.966647241141359,0.0281441881878763,1,1,0,1,"Mod-ellipses"
0.933535166318762,0.00101755192946331,2,0,0,1,"Mod-ellipses"
0.86152837244245,0.174598063331032,1,0,0,2,"Mod-ellipses"
0.933409593470116,0.0988138195229576,2,1,0,0,"Mod-ellipses"
0.877623822304045,0.0152861819232615,1,0,1,1,"Mod-ellipses"
0.82824735456819,0.0432860134294804,1,0,2,0,"Mod-ellipses"
0.94521993413934,0.120263746560691,1,1,1,0,"Mod-ellipses"
0.814051647744921,0.030859765480974,0,1,2,0,"Mod-ellipses"
0.881777922110963,0.0164946687171532,2,1,0,0,"Mod-ellipses"
0.888739070826289,0.0463094040924807,1,1,0,1,"Mod-ellipses"
0.937529766018091,0.15122361941006,1,1,0,1,"Mod-ellipses"
0.893179293856553,0.0601210915966886,0,1,1,1,"Mod-ellipses"
0.856287597225938,0.06166437968433,2,0,1,0,"Mod-ellipses"
0.950531861468102,0.0280013380636107,1,1,0,1,"Mod-ellipses"
0.942087996226405,0.245426555158325,0,1,1,1,"Mod-ellipses"
0.857586712035623,0.0287835440360374,1,1,0,1,"Mod-ellipses"
0.953809981119665,0.00896828020563466,3,0,0,0,"Mod-ellipses"
0.97169806425659,0.0192666415764564,2,1,0,0,"Mod-ellipses"
0.61024407715582,4.46889448616071,2,1,0,0,"Mod-ellipses"
0.785245873548975,2.13660114841868,1,2,0,0,"Mod-ellipses"
0.809140274515126,0.0460302303054685,1,0,1,1,"Mod-ellipses"
0.889147572734536,0.127567813499625,2,0,0,1,"Mod-ellipses"
0.804245974513389,0.225801809693256,0,0,0,3,"Mod-ellipses"
0.934329415033728,0.189780067005414,1,0,2,0,"Mod-ellipses"
0.870458480830801,0.0589700966710659,1,1,0,1,"Mod-ellipses"
0.928664553571124,0.0174888649311173,2,1,0,0,"Mod-ellipses"
0.955751582237159,0.0176366503928874,2,0,0,1,"Mod-ellipses"
0.837257323469455,0.0743019984265306,0,0,3,0,"Mod-ellipses"
0.928933647761649,0.00740606815834686,2,0,0,1,"Mod-ellipses"
0.799172761625284,0.0307642207945137,0,2,1,0,"Mod-ellipses"
0.853467791393941,0.214146157844183,1,1,1,0,"Mod-ellipses"
0.936837284512886,0.0626398000771241,2,0,0,1,"Mod-ellipses"
0.92839525785441,0.0154776697633661,1,1,1,0,"Mod-ellipses"
0.839398114522616,0.101262512671946,1,1,0,1,"Mod-ellipses"
0.869451691894356,0.0795792504070679,1,0,1,1,"Mod-ellipses"
0.932384070241709,0.189327069179773,0,1,0,2,"Mod-ellipses"
0.903603769459774,0.0240296675374201,3,0,0,0,"Mod-ellipses"
0.96251586174854,0.0178500248999156,2,0,0,1,"Mod-ellipses"
0.805776286396987,0.139532569732159,0,0,3,0,"Mod-ellipses"
0.809140594420634,0.0494184784610946,1,0,2,0,"Mod-ellipses"
0.955377717722423,0.0692386756399476,2,0,1,0,"Mod-ellipses"
0.822324238843114,0.0900539327127156,1,1,1,0,"Mod-ellipses"
0.816653747985418,0.202249446277665,1,1,0,1,"Mod-ellipses"
0.789544111327808,0.130069886538429,1,0,1,1,"Mod-ellipses"
0.968686558485767,0.00271997822585858,2,0,0,1,"Mod-ellipses"
0.7477434493564,0.11773497675417,1,0,1,1,"Mod-ellipses"
0.51856642422267,0.0143967451392998,1,1,1,0,"Mod-ellipses"
0.953529544544087,0.0216682228151637,3,0,0,0,"Mod-ellipses"
0.909828064844918,0.247151494643557,0,1,1,1,"Mod-ellipses"
0.800601394505796,0.0562795045191552,2,0,1,0,"Mod-ellipses"
0.905806415497186,0.0349072615461613,1,1,0,1,"Mod-ellipses"
0.943067276588418,0.0227831544324255,1,1,0,1,"Mod-ellipses"
0.913949295774304,0.0926518663408644,1,1,0,1,"Mod-ellipses"
0.931757002236398,0.0159506239591777,1,0,1,1,"Mod-ellipses"
0.825394290915692,0.0576991728579203,1,1,0,1,"Mod-ellipses"
0.825450152957634,0.032230033162941,0,2,1,0,"Mod-ellipses"
0.931142068015349,0.0107227819866565,2,0,0,1,"Mod-ellipses"
0.349417212601828,2.99895693152245,2,0,1,0,"Mod-ellipses"
-0.00455233881404404,0.610573736290441,1,0,1,1,"Mod-ellipses"
0.776853723554785,0.0798320959209637,0,0,1,2,"Mod-ellipses"
0.941613520624576,0.0112810867368522,1,0,0,2,"Mod-ellipses"
0.971616676971545,0.0231992746373616,1,0,2,0,"Mod-ellipses"
0.962374367095833,0.0920478266777567,2,0,1,0,"Mod-ellipses"
0.937141300354708,0.186204458873611,0,0,1,2,"Mod-ellipses"
0.803427062079216,0.0800034199694282,1,1,0,1,"Mod-ellipses"
0.933948004275092,0.0105156570197575,1,0,1,1,"Mod-ellipses"
0.744751491767831,0.744734328919344,1,0,0,2,"Mod-ellipses"
0.894954330319375,0.0300578109965873,1,1,0,1,"Mod-ellipses"
0.938442111450584,0.0364296300035828,2,0,1,0,"Mod-ellipses"
0.85667290333478,0.00937404558598508,0,1,1,1,"Mod-ellipses"
0.925929775449535,0.0292456195081447,2,1,0,0,"Mod-ellipses"
0.705311058591184,0.0289815684618893,2,0,0,1,"Mod-ellipses"
0.897897393669517,0.0523536772950921,1,1,1,0,"Mod-ellipses"
0.913617278301362,0.0204849733200079,2,0,0,1,"Mod-ellipses"
0.957974516735947,0.0236967468086099,2,1,0,0,"Mod-ellipses"
0.890310461293364,0.0224171160921198,2,1,0,0,"Mod-ellipses"
0.900716080745385,0.125301565441172,1,1,1,0,"Mod-ellipses"
0.896457070312324,0.08523917072665,1,1,0,1,"Mod-ellipses"
0.871887276905464,0.126701753165895,1,1,0,1,"Mod-ellipses"
0.886659501512071,0.0313013911623867,1,1,0,1,"Mod-ellipses"
0.846221255042446,0.227358956308754,0,1,2,0,"Mod-ellipses"
0.813417012197987,0.131894715715207,0,0,3,0,"Mod-ellipses"
0.83669651583577,0.193828640067372,1,1,1,0,"Mod-ellipses"
0.966175318162112,0.00232574467401021,1,0,1,1,"Mod-ellipses"
0.908583084614139,0.165648746207775,1,1,1,0,"Mod-ellipses"
0.876066306335986,0.0123384424578226,1,0,1,1,"Mod-ellipses"
0.943504304002631,0.00683167792725507,1,1,0,1,"Mod-ellipses"
0.95625927384675,0.0585976211208925,1,1,1,0,"Mod-ellipses"
0.933729020448907,0.230435544753361,2,0,0,1,"Mod-ellipses"
0.934275537061227,0.137482117163801,1,0,1,1,"Mod-ellipses"
0.951499347733368,0.0283719990534905,2,0,1,0,"Mod-ellipses"
0.9093052366843,0.0117462612566295,2,0,0,1,"Mod-ellipses"
0.900540311525501,0.0157613054344265,2,0,0,1,"Mod-ellipses"
0.814366475573309,0.0615493148150508,1,1,1,0,"Mod-ellipses"
0.969978504351942,0.171045497916506,1,0,0,2,"Mod-ellipses"
0.949274724005119,0.0272977068403896,2,0,1,0,"Mod-ellipses"
0.766586851282833,0.00397906272487537,1,1,0,1,"Mod-ellipses"
0.808492953066898,0.0561367968113632,1,1,0,1,"Mod-ellipses"
0.889616709699862,0.07004678497433,1,0,1,1,"Mod-ellipses"
0.876339252181373,0.0379510447064252,0,1,0,2,"Mod-ellipses"
0.888769472399032,0.146995984052834,2,0,0,1,"Mod-ellipses"
0.904365840572951,0.0365926896206171,1,0,1,1,"Mod-ellipses"
0.907415485859299,0.0471265636350952,1,1,1,0,"Mod-ellipses"
0.872647648431722,0.0774953498679382,0,1,1,1,"Mod-ellipses"
0.884213029834127,12.1497705553863,0,1,1,1,"Mod-ellipses"
0.898219146836449,0.0151873006754402,2,1,0,0,"Mod-ellipses"
0.933760633473607,0.00567550611210834,2,0,0,1,"Mod-ellipses"
0.960986925245545,0.0516046708339675,2,0,1,0,"Mod-ellipses"
0.909377738808885,0.0127884622262759,2,1,0,0,"Mod-ellipses"
0.853683263368341,0.0841502193210069,1,0,1,1,"Mod-ellipses"
0.922295703607971,0.0877520810178685,1,0,1,1,"Mod-ellipses"
0.970465291836967,0.00437258018869007,2,0,1,0,"Mod-ellipses"
0.912655272484656,0.473006605312592,0,1,1,1,"Mod-ellipses"
0.957594354193149,0.0531413106716968,1,2,0,0,"Mod-ellipses"
0.777814860405658,0.0489067618763827,1,0,0,2,"Mod-ellipses"
0.936283340510802,0.110121349563435,0,2,0,1,"Mod-ellipses"
0.808773466695403,0.0586297589675633,1,1,1,0,"Mod-ellipses"
0.902117745893213,0.11132317504512,2,0,0,1,"Mod-ellipses"
0.86539718118465,0.18217366905531,1,0,1,1,"Mod-ellipses"
0.814226686588117,0.0905322273114707,1,2,0,0,"Mod-ellipses"
0.938592150470882,0.0133041791528415,2,1,0,0,"Mod-ellipses"
0.973409318184615,0.0356881886486831,3,0,0,0,"Mod-ellipses"
0.957692102857255,0.0094580804750343,1,0,2,0,"Mod-ellipses"
0.926319177909045,0.0808647244293879,1,0,1,1,"Mod-ellipses"
0.961781906647459,0.0188739025420294,0,0,2,1,"Mod-ellipses"
0.79573590112633,0.0105239012269717,2,1,0,0,"Mod-ellipses"
0.782318160554713,0.0650697290392382,1,0,1,1,"Mod-ellipses"
0.854128674442628,0.0835429273531931,1,0,1,1,"Mod-ellipses"
0.980894864940377,0.0388780102205056,1,0,2,0,"Mod-ellipses"
0.778718145303832,0.0954051506264673,0,0,1,2,"Mod-ellipses"
0.846255858220386,0.0460859187193133,0,3,0,0,"Mod-ellipses"
0.954782150836088,0.0198171501498678,3,0,0,0,"Mod-ellipses"
0.973983511140808,0.0247655604753132,3,0,0,0,"Mod-ellipses"
0.94358276969721,0.0853748291752153,1,1,1,0,"Mod-ellipses"
0.9327963146749,0.0156822109971423,2,0,1,0,"Mod-ellipses"
0.939752513797808,0.00486183855691317,2,0,0,1,"Mod-ellipses"
0.888704844452767,0.0470650947970336,1,1,1,0,"Mod-ellipses"
0.790282972550299,0.10681692100284,1,0,2,0,"Mod-ellipses"
0.860790153524763,0.214560706975934,1,1,0,1,"Mod-ellipses"
0.788397115347723,0.0387025909240948,0,1,1,1,"Mod-ellipses"
0.884866572679201,0.186548440670147,1,0,0,2,"Mod-ellipses"
0.83312931834719,0.0556597211074586,1,0,2,0,"Mod-ellipses"
0.89819705537931,0.0495122817770966,1,2,0,0,"Mod-ellipses"
0.880658737320588,0.137296567210013,1,1,1,0,"Mod-ellipses"
0.926565271511494,0.00837863713486615,2,0,1,0,"Mod-ellipses"
0.964692639683125,0.017611400933847,2,0,1,0,"Mod-ellipses"
0.916026566031477,0.219805531227079,1,0,0,2,"Mod-ellipses"
0.976079138558188,0.046260842624833,3,0,0,0,"Mod-ellipses"
0.960533451158538,0.0376910464268095,3,0,0,0,"Mod-ellipses"
0.902113775559266,0.286599260736963,2,0,0,1,"Mod-ellipses"
0.884984226948556,0.0992493831375142,0,2,0,1,"Mod-ellipses"
0.816316260962215,0.197797784192412,2,1,0,0,"Mod-ellipses"
0.971705120245722,0.00916818871991075,3,0,0,0,"Mod-ellipses"
0.898286342756979,0.00581258827803948,1,0,2,0,"Mod-ellipses"
0.906727174070255,0.022069484965924,2,0,1,0,"Mod-ellipses"
0.886744306050329,0.242725450385208,0,1,0,2,"Mod-ellipses"
0.839147409591574,0.0574340772334563,2,1,0,0,"Mod-ellipses"
0.87516872728329,0.153514903154284,1,1,1,0,"Mod-ellipses"
0.943210968900788,0.0136930250305605,2,0,1,0,"Mod-ellipses"
0.754944501303435,0.0536687164827116,1,1,1,0,"Mod-ellipses"
0.844412160738914,0.0277595423981038,0,1,1,1,"Mod-ellipses"
0.793341621051388,0.0357469561736982,1,1,0,1,"Mod-ellipses"
0.881531352210192,0.0215598924500309,2,1,0,0,"Mod-ellipses"
0.737139125424148,0.0993403891132244,1,1,1,0,"Mod-ellipses"
0.961058565306511,0.0483514373741547,0,0,2,1,"Mod-ellipses"
0.887534042123506,0.0359663128856274,2,0,1,0,"Mod-ellipses"
0.912670726838191,0.0748565811277475,0,0,1,2,"Mod-ellipses"
0.884279860104345,0.141367514405699,1,1,0,1,"Mod-ellipses"
0.863578076406035,0.0274957459340312,3,0,0,0,"Mod-ellipses"
0.824008948982307,0.06197680568214,1,0,1,1,"Mod-ellipses"
0.82711191628458,0.0653672972324926,1,0,1,1,"Mod-ellipses"
0.886934410758624,0.102365614902303,1,2,0,0,"Mod-ellipses"
0.835027213116978,0.0460582923544558,1,1,0,1,"Mod-ellipses"
0.896758278143081,0.124869414783204,2,0,1,0,"Mod-ellipses"
0.919374407533111,0.135318784519498,0,2,0,1,"Mod-ellipses"
0.944222188539626,0.135345599925806,1,0,1,1,"Mod-ellipses"
0.917010207210745,0.049413521440886,2,1,0,0,"Mod-ellipses"
0.89080339810019,0.00669213520210335,1,1,0,1,"Mod-ellipses"
0.933587998549477,0.0141123408554849,1,1,0,1,"Mod-ellipses"
0.894619206956799,0.130878528482239,1,1,1,0,"Mod-ellipses"
0.934525733721103,0.0346566913326396,2,0,0,1,"Mod-ellipses"
0.770473838208462,0.400039761903926,0,1,1,1,"Mod-ellipses"
0.959584353974085,0.0136623506946034,1,1,1,0,"Mod-ellipses"
0.91436374219707,0.056594009805682,1,1,1,0,"Mod-ellipses"
0.860875301356199,0.0204820287074988,2,0,1,0,"Mod-ellipses"
0.966674848096446,0.0231825729672961,3,0,0,0,"Mod-ellipses"
0.749890548167772,0.0790396793143853,0,0,2,1,"Mod-ellipses"
0.974381196017009,0.00503544160557082,3,0,0,0,"Mod-ellipses"
0.959311791391608,0.126880864509627,1,0,0,2,"Mod-ellipses"
0.917526930547398,0.00688078666589387,1,0,1,1,"Mod-ellipses"
0.88815387275542,0.0872010423053455,1,1,1,0,"Mod-ellipses"
0.751278939455584,0.0974349172726381,1,0,1,1,"Mod-ellipses"
0.861506132873748,0.119203786035939,1,0,2,0,"Mod-ellipses"
0.69333878392862,0.533473368254754,1,1,0,1,"Mod-ellipses"
0.910606372166206,0.109172576470462,0,2,1,0,"Mod-ellipses"
0.882752369913435,0.0845564380135321,2,0,0,1,"Mod-ellipses"
0.85357101905716,0.105095757958884,1,0,2,0,"Mod-ellipses"
0.889141799642857,0.293399462650665,1,1,0,1,"Mod-ellipses"
0.9462095491591,0.00627003763471517,3,0,0,0,"Mod-ellipses"
0.879506903935732,0.0523735519320323,2,1,0,0,"Mod-ellipses"
0.93147029564837,0.251129691898968,2,0,1,0,"Mod-ellipses"
0.84712704240499,0.223761373592207,0,2,1,0,"Mod-ellipses"
0.890159265616224,0.0993048160067275,0,1,2,0,"Mod-ellipses"
0.957347859219008,0.0074494119153815,3,0,0,0,"Mod-ellipses"
0.920357611896817,0.0127454308879654,3,0,0,0,"Mod-ellipses"
0.928637640794099,0.0113452843727232,2,0,1,0,"Mod-ellipses"
0.935430462181135,0.0493071540114263,0,1,2,0,"Mod-ellipses"
0.906488683334972,0.124167191238528,1,0,2,0,"Mod-ellipses"
0.967458071233842,0.0204855615768726,2,0,1,0,"Mod-ellipses"
0.929213277040492,0.13025717722371,2,0,1,0,"Mod-ellipses"
0.715945610914033,0.0641735894260494,1,0,1,1,"Mod-ellipses"
0.779393277514816,0.0483103892051017,1,1,0,1,"Mod-ellipses"
0.899037873432614,0.0131988593026227,1,0,1,1,"Mod-ellipses"
0.950375931830921,0.0287461923753384,2,0,1,0,"Mod-ellipses"
0.92699804743589,0.0191426280723833,1,2,0,0,"Mod-ellipses"
0.859979399311605,0.0503620961424751,1,2,0,0,"Mod-ellipses"
0.897508211172444,0.148226754903274,0,1,1,1,"Mod-ellipses"
0.937923119130107,0.0162576386704493,2,0,0,1,"Mod-ellipses"
0.890895526781609,0.0808944297069142,2,1,0,0,"Mod-ellipses"
0.895912817607988,0.174272550711672,1,1,0,1,"Mod-ellipses"
0.950942965038588,0.0109304827533735,1,0,2,0,"Mod-ellipses"
0.910257896237092,0.12897745531583,2,1,0,0,"Mod-ellipses"
0.938184419799397,0.149520641933261,1,0,0,2,"Mod-ellipses"
0.903433005538337,0.0104528717888551,3,0,0,0,"Mod-ellipses"
0.932513038624994,0.0121217961601261,3,0,0,0,"Mod-ellipses"
0.948517255615144,0.0205175608485766,2,1,0,0,"Mod-ellipses"
0.924267540037059,0.188744630448408,0,1,0,2,"Mod-ellipses"
0.925518889325581,0.0105294975377177,3,0,0,0,"Mod-ellipses"
